index,x,y,free
364,-2.5500001907348633,-4.0499997138977051,1
365,-2.25,-4.0499997138977051,1
366,-1.9500004053115845,-4.0499997138977051,0
367,-1.6500002145767212,-4.0499997138977051,1
368,-1.3500005006790161,-4.0499997138977051,1
369,-1.0500003099441528,-4.0499997138977051,0
370,-0.75000011920928955,-4.0499997138977051,0
371,-0.45000037550926208,-4.0499997138977051,1
372,-0.1500001847743988,-4.0499997138977051,1
373,0.15000000596046448,-4.0499997138977051,1
374,0.44999971985816956,-4.0499997138977051,0
375,0.74999988079071045,-4.0499997138977051,1
376,1.0500000715255737,-4.0499997138977051,0
377,-7.3500003814697266,-3.75,1
378,-7.0500001907348633,-3.75,1
379,-6.7500004768371582,-3.75,1
380,-6.4500002861022949,-3.75,1
381,-6.1500000953674316,-3.75,1
382,-5.8500003814697266,-3.75,1
383,-5.5500001907348633,-3.75,1
384,-5.2500004768371582,-3.75,1
385,-4.9500002861022949,-3.75,1
386,-4.6500000953674316,-3.75,1
387,-4.3500003814697266,-3.75,1
388,-4.0500001907348633,-3.75,0
389,-3.7500002384185791,-3.75,1
390,-3.4500002861022949,-3.75,1
391,-3.1500000953674316,-3.75,1
392,-2.8500003814697266,-3.75,1
393,-2.5500001907348633,-3.75,1
394,-2.25,-3.75,1
395,-1.9500004053115845,-3.75,1
396,-1.6500002145767212,-3.75,1
397,-1.3500005006790161,-3.75,1
398,-1.0500003099441528,-3.75,1
399,-0.75000011920928955,-3.75,0
400,-0.45000037550926208,-3.75,1
401,-0.1500001847743988,-3.75,1
402,0.15000000596046448,-3.75,1
403,0.44999971985816956,-3.75,0
404,0.74999988079071045,-3.75,0
405,1.0500000715255737,-3.75,0
406,-7.3500003814697266,-3.4499998092651367,0
407,-7.0500001907348633,-3.4499998092651367,0
408,-6.7500004768371582,-3.4499998092651367,0
409,-6.4500002861022949,-3.4499998092651367,0
410,-6.1500000953674316,-3.4499998092651367,0
411,-5.8500003814697266,-3.4499998092651367,0
412,-5.5500001907348633,-3.4499998092651367,1
413,-5.2500004768371582,-3.4499998092651367,1
