cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
726,36,15,10.100000381469727,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,9.7600326906901554e-172,45.798992156982422,1,0
727,37,15,10.399999618530273,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,4.8790305519563544e-197,46.798992156982422,1,0
728,38,15,10.699999809265137,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,4.4669517479376242e-224,47.798992156982422,1,0
729,39,15,11,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,7.4909347581620553e-253,48.798992156982422,1,0
730,40,15,11.300000190734863,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,2.301138164945677e-283,49.798992156982422,1,0
731,41,15,11.600000381469727,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,1.2945383152537073e-315,50.798992156982422,1,0
732,42,15,11.90000057220459,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,51.798992156982422,1,0
733,43,15,12.199999809265137,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,52.798992156982422,1,0
734,44,15,12.5,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,53.798992156982422,1,0
735,45,15,12.800000190734863,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
736,0,16,-0.70000004768371582,3.0870003700256348,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
737,1,16,-0.40000000596046448,3.0870003700256348,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
738,2,16,-0.10000002384185791,3.0870003700256348,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
739,3,16,0.20000004768371582,3.0870003700256348,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
