split,pair_index,band,geometry_0,geometry_1,geometry_2,geometry_3,geometry_4,geometry_5,geometry_6,geometry_7,geometry_8,geometry_9,geometry_10,geometry_11,geometry_12,geometry_13,geometry_14,geometry_15,geometry_16,geometry_17,geometry_18,geometry_19,geometry_20,ordinary_CROSSBLOCK_COV_NORM,ordinary_INTERACTION_ENERGY,ordinary_RAW_MASS_DIFFERENCE,ordinary_BASE_SNR
A,5,1,1.8449876710527562,0.7050450266974105,0.7476294794937374,0.4930544738895312,0.5967003749525389,0.022016831379908137,3.3324373497101725,1.9681620018586619,0.7234748244104214,0.78533012990369,0.43491283827756333,0.4078353072359361,0.08636533132818752,3.542954951478933,0.6040356712463105,0.03695527264806137,0.07801906571615222,-0.08845153700337965,-0.2719770550651702,0.06573488431456401,2.0231882860809844,0.303630730620186,1.7627314853381493,4.2854801609852045,1.8251075651861153
B,5,1,1.7923792386408115,0.6763594807005564,0.763163755470719,0.45585484943433535,0.5780444380988333,0.022239688755644176,3.32215431295873,1.9300132340518241,0.698717755464823,0.8316426254930316,0.38282972277124583,0.41709855882531205,0.08569787102267491,3.550882763457097,0.6343954299958015,0.04350707332778339,0.14153166546062854,-0.10534425204017937,-0.23506979901902075,0.06483998987009999,2.0948299230594416,0.2832870033705901,1.7611843604463735,4.206685509953853,1.8206800970190264
A,6,2,0.48214545091281913,0.8573024512867377,0.7734446344041552,0.3066374148398669,0.6881234019536194,0.4168451700272085,0.12712113598406122,0.5229782132940607,0.8823781761090693,0.7854484294113467,0.28647941615712047,0.6872548175231179,1.2612808043218624,0.1489546765595931,0.06531873664498701,0.05812317167323451,0.025834997811777366,-0.026756262363656903,-0.001726222373701196,1.1028606394999154,0.024756823931745137,0.5864895731199032,2.3262364760999867,2.8768361376082074,0.37612162223652296
B,6,2,0.3960006095908128,0.6512986703754331,0.83902831260466,0.4551412386999381,0.6755522015372543,0.39759405009067883,0.18063384316497555,0.4574157180178246,0.6794860083605601,0.8523242675644012,0.40651773298922833,0.6736291949519276,1.1956101556369017,0.24007351211480205,0.08994613983851815,0.05338277824690632,0.030503847192553748,-0.07214971376670765,-0.003768194801899144,1.0357911589892765,0.07079964892319117,0.3119631470907655,2.276276990896283,2.562029599977039,0.4247794080893517
A,7,2,1.0364773147868915,0.4888485137464295,0.8689056254006919,0.48595105076561523,0.6751143869662147,0.06485747240190776,2.22363646045425,1.1664235270772678,0.5709999426454474,1.0015666377676264,0.41901997517408407,0.637210528744775,0.29131365838709106,2.2118795494435104,0.33018231355900973,0.1306759103215827,0.2913580237918031,-0.10007127355196198,-0.07051398553857809,0.23994349092222053,-0.10256377972728589,0.24275697364504634,0.7901337866363002,3.963294155993886,1.357308863402205
B,7,2,1.071703956205938,0.6213760162788544,0.7790154760768035,0.578765223751803,0.6152632383935586,0.09958178159392637,1.774142916555037,1.1738353480524315,0.6897779165545782,0.8798552548796055,0.5020680255464586,0.5055838928487736,0.41584618054953715,1.7871021250768626,0.27309297920438796,0.12379611495884629,0.20800973457844874,-0.1237209601370869,-0.17579216942206694,0.3442589145880122,0.07408156347681898,0.4528120995172217,0.8857452076045723,3.4185031087582733,1.1722067469763795
A,8,2,0.4676659161605862,0.6038890962611541,0.7445863909961965,0.6210039820844504,0.6613771518480396,0.34499423656117656,0.3701551345658214,0.5304092134157158,0.6663454511475204,0.7986635389475182,0.5839776891417362,0.6434349625626559,1.105842654392548,0.38476228606169005,0.09836337695784936,0.11144253765124087,0.11064490361032796,-0.06544912980401608,-0.033872061111118575,0.9592689621020573,0.0210819942296488,0.40956234059224256,0.3376079523070779,1.251877146588778,0.541781711306647
B,8,2,0.3906694547854207,0.5120724170109375,0.7371566688686647,0.649965575685867,0.663194709976016,0.3461956226937227,0.366522420678377,0.44383984654582564,0.5767412676461731,0.7932065177705963,0.619252870901572,0.6286482913855136,1.1203111014946698,0.3626069083835441,0.07761910301533766,0.10569401807606202,0.11376471118066445,-0.05631907225519885,-0.06382796309940676,0.9753625989953246,-0.00562206553234545,0.28331373788955644,0.2647719960799185,2.171709611215894,0.5392531074550407
A,9,3,0.2646093177869848,0.9359983099042988,0.7274986124758757,0.3678843169336438,0.68810782705437,0.4712527760287788,-0.028259270245028886,0.3795631398464495,1.0630815831170353,0.7460504370304527,0.3238806183093231,0.6858443397952542,1.373710231740422,-0.009912049588646844,0.14731945761684212,0.2967817923473773,0.03802650832462148,-0.06033531002647204,-0.0044890342931532805,1.208356878729925,0.018528300713852853,1.0700915466380465,1.2948455755236137,1.5277845565100105,0.17853440608951027
B,9,3,0.5773714968974935,0.9899191429574424,0.8145658640727725,0.5980205453146886,0.6646500091682084,0.4154416258718708,0.12651066646785208,0.6761731246045194,1.1149516717722066,0.8120376765085061,0.5980393115860387,0.6708537774229841,1.2688035585072888,0.13457303427515543,0.16973298187427224,0.3063104272009817,-0.005685735475929081,3.4126494471968096e-05,0.012023853121512728,1.1123689255882343,0.009144713962970062,1.1360085917234293,1.417973500265034,2.6704009566802758,0.37984588648539663
