split,pair_index,band,base_C,interaction_C,audit_base_logloss,audit_interaction_logloss,audit_delta_log,audit_delta_brier,audit_delta_accuracy,design_inner_cv_delta_log
A,64,1,100.0,100.0,0.07544837078437658,0.05232748233646327,0.02312088844791331,0.002530743180753698,0.0,0.031974882566546105
B,64,1,10.0,10.0,0.3350008402712853,0.29846098398149895,0.03653985628978634,0.011945920161953921,0.0,0.0919454404656821
A,65,1,100.0,100.0,0.006895203439716844,0.005234652204702947,0.001660551235013897,7.593476912942692e-05,0.0,0.0014067777440331247
B,65,1,10.0,10.0,0.023850038494786,0.020360844871433262,0.003489193623352739,0.000533538247614398,0.0,0.00893485282090034
A,66,2,100.0,100.0,0.0033202050315897453,0.0015967275644288134,0.0017234774671609319,1.3284714297490007e-05,0.0,0.002487301136036756
B,66,2,10.0,10.0,0.007661334774072205,0.004592231638080211,0.0030691031359919947,4.4267836946091426e-05,0.0,0.010520133446209626
A,67,2,100.0,100.0,0.09056793459904613,0.08979647484786156,0.000771459751184575,0.0003717594960915144,0.0,0.0010095527328813428
B,67,2,10.0,10.0,0.1467357272931626,0.1339192134288519,0.01281651386431068,0.005332126350632065,0.0,0.003642884522018802
A,68,2,100.0,100.0,0.21391987098609175,0.18063471566648776,0.03328515531960399,0.0028670386059849798,0.0,0.02604498456130215
B,68,2,10.0,10.0,0.1257126183272672,0.09015216582336433,0.035560452503902884,0.009117635821786632,0.0,0.02535793149803789
A,69,3,100.0,100.0,0.26988952464499355,0.18433758533677022,0.08555193930822333,0.038152696699162054,0.0625,0.013880928004629256
B,69,3,10.0,10.0,0.9917766236251307,1.0876969848584757,-0.09592036123334491,-0.00041121611544958636,0.0,0.03419660567162655
A,70,3,100.0,100.0,0.26063027110806,0.19275410946566152,0.06787616164239846,0.021984308590088,0.0,0.06437134102333786
B,70,3,10.0,10.0,0.6622902521946,0.7027496247036923,-0.04045937250909226,0.0023532089964925784,0.0,0.02007820396630966
A,71,3,100.0,100.0,0.06543927297381302,0.04670705350822562,0.018732219465587403,0.002663071123400069,0.0,-0.039096316581634594
B,71,3,10.0,10.0,0.3017773727558442,0.2426227916759151,0.0591545810799291,0.015295427218795031,0.0,0.1122390609656615
A,72,0,100.0,100.0,0.3059177530181516,0.28613310126982805,0.019784651748323556,0.0069771360437496655,0.0,0.06093413958694344
B,72,0,10.0,10.0,0.48482963700951626,0.4501032548888343,0.034726382120681965,0.013101525331049219,0.0,0.009713517574061692
A,73,0,100.0,100.0,0.6701794257975809,0.6732802503147872,-0.00310082451720628,0.0013405144436007266,0.0,0.009316513127311188
B,73,0,10.0,10.0,0.6038045031150037,0.6069121966260098,-0.0031076935110061488,-0.0009153102234077115,0.0,-0.028405851597400056
A,74,0,100.0,100.0,0.2211666044624383,0.2409661706386646,-0.019799566176226302,-0.014807162546899837,-0.0625,0.18957051261700902
B,74,0,10.0,10.0,0.44680412988718976,0.3787032574220558,0.06810087246513397,0.02698223679939757,0.0,0.10048129242377646
A,75,1,100.0,100.0,0.3094328943076807,0.300572654091436,0.008860240216244653,0.0014968947286876505,0.0,-0.007990886750116388
B,75,1,10.0,10.0,0.8010437575023875,0.8604062275394879,-0.05936247003710038,-0.0007134902099457108,0.0,-0.14245916365180356
A,76,1,100.0,100.0,0.1254836015360249,0.1141692379023724,0.011314363633652486,0.0046787981942846835,0.0,0.07606699983597465
B,76,1,10.0,10.0,0.5222379674915962,0.4782708345812169,0.04396713291037935,0.018488702449237948,0.0,0.01903873283540458
A,77,1,100.0,100.0,0.03642497035448211,0.04204988675557799,-0.005624916401095879,-0.0033579177272286785,0.0,0.0016872317952942462
B,77,1,10.0,10.0,0.02193006534903988,0.017556287829442813,0.004373777519597066,0.0003178664447373355,0.0,0.005061446491375118
A,78,2,100.0,100.0,0.0016276266950211989,0.0008567809372825544,0.0007708457577386444,4.91389065710709e-06,0.0,0.0035856560438212908
B,78,2,10.0,10.0,0.032645630938704935,0.014463512332187766,0.018182118606517167,0.0026595261906929898,0.0,0.009312610937589848
A,79,2,100.0,100.0,0.0636598291482659,0.05492274837292036,0.008737080775345539,0.003473346750548955,0.0,0.025002443296864407
B,79,2,10.0,10.0,0.18767683859211987,0.17808672013358978,0.009590118458530084,0.002570245505631001,0.0,0.014591554907586735
A,80,2,100.0,100.0,0.3613023549280747,0.4139845687368121,-0.05268221380873739,-0.00450947485531468,0.0,-0.0039671856423419
B,80,2,10.0,10.0,0.1913250253235229,0.3247162466587052,-0.13339122133518228,-0.05373793940008835,-0.0625,0.015537463217642211
A,81,3,100.0,100.0,0.23149821362653458,0.14593400778330354,0.08556420584323104,0.025489655975295476,0.0,0.19953614778343115
B,81,3,10.0,10.0,0.781542347410061,0.7968802909994105,-0.015337943589349479,0.000589517684724955,0.0,0.01800100496376056
A,82,3,100.0,100.0,0.15459205287099462,0.14464801615823125,0.009944036712763366,0.002125968538534695,0.0,3.595265877812115e-05
B,82,3,10.0,10.0,0.23955051113160475,0.2188204487471111,0.020730062384493653,0.0050973396631501106,0.0,0.022958437064392434
A,83,3,100.0,100.0,0.2981457443002028,0.23014899569172148,0.06799674860848132,0.023772392667207,0.0,0.06232398876012357
B,83,3,10.0,10.0,1.028327463327917,1.1498546104029022,-0.12152714707498524,-0.0028472303253694875,0.0,0.05808697657011341
