source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_12_27,12,27,-1.6427300000000002,0.7991200000000003,2.8994600764937446,2.6868641637415354,2.8375384148079252,2.9691224788205202
pmfs_12_16,12,16,-1.6427300000000002,-2.5008799999999995,2.9019370006007295,2.6037513926750675,2.9823040358511586,2.8310219194959658
pmfs_18_14,18,14,0.15726999999999958,-3.100879999999999,2.9037606205259929,2.7876661924944375,3.5063047423627256,2.3920417171481834
pmfs_5_13,5,13,-3.74273,-3.4008799999999995,2.9124116998478677,2.3363028015080651,3.229591272849722,2.6684510470361587
pmfs_5_14,5,14,-3.74273,-3.100879999999999,2.9212160284909601,2.0635707037580153,3.3422258269671294,2.5594817441383344
pmfs_1_12,1,12,-4.94273,-3.7008799999999997,2.9562770436528867,2.2591571457773947,3.2230600901119684,2.7343726638218007
pmfs_11_3,11,3,-1.94273,-6.400879999999999,2.9826903336059805,2.3358818002916784,3.1523003729551689,2.828857717021426
pmfs_7_29,7,29,-3.14273,1.39912,3.0272229880964074,1.6852692574892141,3.3674307626669253,2.7221051319493923
pmfs_7_28,7,28,-3.14273,1.099120000000001,3.0610400626933747,1.8828455878002419,3.2976130785518092,2.8438470321185902
pmfs_1_8,1,8,-4.94273,-4.900879999999999,3.0901072781746382,2.0132501803095875,3.2192733601811794,2.9682623236927319
pmfs_9_16,9,16,-2.54273,-2.5008799999999995,3.1203466483065503,2.341344683519536,3.0079229278508217,3.239233161125727
pmfs_3_11,3,11,-4.3427299999999995,-4.0008799999999995,3.1304268730762987,2.7761766598871764,3.2651171857951069,3.0695583687991785
pmfs_4_11,4,11,-4.04273,-4.0008799999999995,3.1365372789095196,2.2344213290541699,3.4966015150384231,2.839788692269082
pmfs_9_25,9,25,-2.54273,0.19912000000000063,3.1835673362464152,2.7062467109359249,3.4314447458435096,2.9708089811007214
