cell_index,x,y,source_probability
347,1.6572699546813965,-3.7008798122406006,1.8983550942231961e-120
348,1.9572701454162598,-3.7008798122406006,1.8983550942231961e-120
352,-4.9427304267883301,-3.4008798599243164,4.0808386367679938e-32
353,-4.6427302360534668,-3.4008798599243164,4.0808386367679938e-32
354,-4.3427300453186035,-3.4008798599243164,4.0808386367679938e-32
355,-4.0427303314208984,-3.4008798599243164,4.0808386367679938e-32
356,-3.7427301406860352,-3.4008798599243164,4.0808386367679938e-32
357,-3.442730188369751,-3.4008798599243164,0.00018686097850820855
358,-3.1427302360534668,-3.4008798599243164,0.00018686097850820855
359,-2.8427300453186035,-3.4008798599243164,0.00018686097850820855
360,-2.5427300930023193,-3.4008798599243164,0.00053030612911487052
361,-2.2427301406860352,-3.4008798599243164,0.0013439999876347002
362,-1.942730188369751,-3.4008798599243164,0.0012691129665607637
363,-1.6427299976348877,-3.4008798599243164,0.0012691129665607637
364,-1.3427300453186035,-3.4008798599243164,0.0012691129665607637
365,-1.0427298545837402,-3.4008798599243164,1.5696966550454216e-05
366,-0.74273014068603516,-3.4008798599243164,1.5696966550454216e-05
367,-0.44272994995117188,-3.4008798599243164,3.0971202637803651e-31
368,-0.1427302360534668,-3.4008798599243164,3.0971202637803651e-31
369,0.15726995468139648,-3.4008798599243164,3.0971202637803651e-31
370,0.45727014541625977,-3.4008798599243164,6.8274192834899893e-61
371,0.75726985931396484,-3.4008798599243164,6.8274192834899893e-61
372,1.0572700500488281,-3.4008798599243164,2.6505176335860554e-103
373,1.3572702407836914,-3.4008798599243164,2.6505176335860554e-103
374,1.6572699546813965,-3.4008798599243164,2.6505176335860554e-103
375,1.9572701454162598,-3.4008798599243164,2.6505176335860554e-103
