source_index,source_id,x_m,y_m,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll,full_top1,bp_top1
52,pmfs_8_15,-2.84273,-2.80088,1.2166166396954163,1.9039766099968243,1,1,4.642014106605047,5.858630746300463,6.545990716601871,0.1875,0.25
53,pmfs_8_16,-2.84273,-2.5008799999999995,0.406252963480247,2.0639094409847125,1,1,4.0516084263210335,4.45786138980128,6.115517867305746,0.0,0.125
54,pmfs_8_17,-2.84273,-2.20088,1.192960351832264,2.2847493456202748,1,1,1.0752925647564227,2.2682529165886867,3.3600419103766974,0.6875,0.5625
55,pmfs_8_18,-2.84273,-1.90088,-5.647125016098351,0.4818647489144474,0,1,18.652379601056488,13.005254584958136,19.134244349970935,0.0,0.0
56,pmfs_9_12,-2.54273,-3.70088,1.0734617096806596,2.5642096382075175,1,1,6.40101459229959,7.47447630198025,8.965224230507108,0.0,0.0
57,pmfs_9_13,-2.54273,-3.4008799999999995,-0.005085626029347701,1.232026271184776,0,1,7.736320708790246,7.731235082760898,8.968346979975022,0.0625,0.125
58,pmfs_9_14,-2.54273,-3.100879999999999,3.0534416910587274,3.069492456020703,1,1,4.526399416179617,7.5798411072383445,7.595891872200319,0.25,0.0625
59,pmfs_9_15,-2.54273,-2.80088,6.147085421234744,3.613597404375154,1,1,7.49092695360635,13.638012374841093,11.104524357981504,0.0625,0.0
60,pmfs_9_16,-2.54273,-2.5008799999999995,1.7441269645676045,3.3006248511201024,1,1,1.3888905577191646,3.133017522286769,4.6895154088392665,0.625,0.75
61,pmfs_9_17,-2.54273,-2.20088,0.36920110040916077,0.9143324479681962,1,1,0.06748923358730897,0.4366903339964697,0.9818216815555053,1.0,0.875
62,pmfs_9_18,-2.54273,-1.90088,-0.8846336347077888,1.7381594644322493,0,1,5.531797139564855,4.647163504857066,7.269956603997105,0.4375,0.4375
63,pmfs_10_12,-2.24273,-3.70088,0.551334808973454,1.7130712722409047,1,1,2.98352729935028,3.5348621083237344,4.696598571591185,0.6875,0.5625
64,pmfs_10_13,-2.24273,-3.4008799999999995,-1.2689668912962428,0.6147965141732008,0,1,4.160250374554549,2.8912834832583054,4.775046888727749,0.125,0.6875
65,pmfs_10_14,-2.24273,-3.100879999999999,2.391672979110925,0.7624911919157327,1,1,0.17629250199952806,2.5679654811104533,0.9387836939152607,1.0,0.5
66,pmfs_10_15,-2.24273,-2.80088,4.917422073715816,3.741293801611645,1,1,5.615224322213379,10.532646395929195,9.356518123825024,0.125,0.0
67,pmfs_10_16,-2.24273,-2.5008799999999995,4.56880961590997,3.6480843825667364,1,1,2.049564376292152,6.618373992202122,5.6976487588588896,0.4375,0.3125
68,pmfs_10_17,-2.24273,-2.20088,4.78386274996787,3.20083658008315,1,1,1.252891735792035,6.036754485759905,4.4537283158751855,0.375,0.0
69,pmfs_10_18,-2.24273,-1.90088,1.413155862347237,2.3344748023232835,1,1,0.7955011044327236,2.2086569667799605,3.129975906756007,0.6875,0.5625
70,pmfs_11_12,-1.94273,-3.70088,1.0739372600806727,0.7507231212224414,1,1,1.160206384354172,2.234143644434844,1.9109295055766131,0.875,0.8125
71,pmfs_11_13,-1.94273,-3.4008799999999995,-2.177484759905881,-1.0341432466846638,0,0,9.827042719387487,7.649557959481605,8.792899472702823,0.1875,0.1875
72,pmfs_11_14,-1.94273,-3.100879999999999,5.4753278083659005,5.192639448460872,1,1,9.740416523166267,15.215744331532166,14.933055971627137,0.125,0.0625
73,pmfs_11_15,-1.94273,-2.80088,1.4256701289312361,3.3159546706682215,1,1,4.203659310661511,5.6293294395927465,7.519613981329733,0.3125,0.375
74,pmfs_11_16,-1.94273,-2.5008799999999995,2.9961929431182925,1.8107081074634734,1,1,1.2431673192898938,4.239360262408186,3.053875426753367,0.5,0.3125
75,pmfs_11_17,-1.94273,-2.20088,1.3892174898596321,2.3851464399907623,1,1,2.971692419931244,4.360909909790876,5.356838859922006,0.375,0.3125
76,pmfs_11_18,-1.94273,-1.90088,2.0329411058445546,4.13003459116731,1,1,3.3186597749819633,5.351600880826518,7.448694366149272,0.4375,0.375
77,pmfs_12_12,-1.6427300000000002,-3.70088,1.3077644719395631,0.5351209009293395,1,1,0.8235797019161393,2.1313441738557026,1.3587006028454787,0.375,0.4375
78,pmfs_12_13,-1.6427300000000002,-3.4008799999999995,1.4619674583416784,0.2975910755032392,1,1,0.7263523087819943,2.1883197671236725,1.0239433842852335,0.8125,0.625
