model,source_index,source_id,realization_index,fold,truth_nll,truth_rank,top1,top3,top5,brier,posterior_mass_0p5m,posterior_mass_1p0m,posterior_expected_distance_m,map_distance_error_m,map_source_id,nearest_neighbor_confusion,truth_vs_nearest_logodds
DIAG_COV,26,pmfs_4_17,12,0,10.752032519730658,37,0,0,0,1.2939317717030165,0.027364566592111273,0.4245378320774419,1.1674687056376185,1.5,pmfs_4_12,0,-2.541784334875681
DIAG_COV,26,pmfs_4_17,13,1,16.930146385404953,31,0,0,0,1.4933802921778128,0.005608544568742289,0.3025248788533895,1.146973029662705,1.3416407864998732,pmfs_6_13,0,-9.175498433739483
DIAG_COV,26,pmfs_4_17,14,2,10.230769785660371,36,0,0,0,1.175564803110931,0.2715982587023385,0.3751307929700813,1.093820438220681,1.0816653826391966,pmfs_7_15,0,-4.634232189602366
DIAG_COV,26,pmfs_4_17,15,3,4.425530418590659,9,0,0,0,1.1637663468468593,0.02310400666457991,0.6117698804399523,1.0244828084570503,0.6708203932499376,pmfs_2_18,0,1.9321286859480136
DIAG_COV,27,pmfs_4_18,0,0,8.220525138497045,21,0,0,0,1.2584727550087536,0.03151265682346896,0.29657837159361267,1.1896723319843605,1.529705854077835,pmfs_5_13,0,4.448930240121008
DIAG_COV,27,pmfs_4_18,1,1,6.420151076489445,13,0,0,0,1.4726277866513566,0.0022703042913405553,0.015527900285328201,1.612246970189473,1.8000000000000003,pmfs_4_12,0,2.8905266985713975
DIAG_COV,27,pmfs_4_18,2,2,8.711990211273166,20,0,0,0,1.3300638133303635,0.0010106583010160372,0.06574603642826365,1.5605409426804506,1.8000000000000003,pmfs_4_12,0,-1.4658691438141673
DIAG_COV,27,pmfs_4_18,3,3,7.024006345103215,8,0,0,0,1.4671721000371662,0.001074777096748782,0.016879821000740872,1.512844480430715,1.8000000000000003,pmfs_4_12,0,2.532894327566714
DIAG_COV,27,pmfs_4_18,4,0,18.65591868956666,27,0,0,0,1.3702016138488855,0.00022485213378486762,0.6355248748894222,1.1059555222639217,0.9000000000000004,pmfs_1_18,0,-10.16914570561648
DIAG_COV,27,pmfs_4_18,5,1,5.421125353197245,16,0,0,0,1.1256332586214324,0.024345340313358742,0.6623413039076327,1.003164193470381,0.8999999999999999,pmfs_7_18,0,1.6671218501012302
DIAG_COV,27,pmfs_4_18,6,2,6.188240116584179,12,0,0,0,1.2461983099191338,0.004377697097971747,0.39841482703631187,1.2010934963798598,0.5999999999999996,pmfs_6_18,0,-0.02151732745436874
DIAG_COV,27,pmfs_4_18,7,3,10.730656851849693,23,0,0,0,1.3276296686462348,0.05003266169253373,0.584124560614197,1.0746328373105511,0.9486832980505137,pmfs_5_15,0,6.616685780687208
DIAG_COV,27,pmfs_4_18,8,0,5.611459619692653,12,0,0,0,1.1529810552733268,0.0970764915792962,0.36747113569472606,1.1999462220514363,0.6708203932499366,pmfs_5_16,0,3.6471092938254017
DIAG_COV,27,pmfs_4_18,9,1,9.676290730635126,21,0,0,0,1.1975700683984065,0.02354841280029394,0.5451950833234461,1.073402512739574,1.529705854077835,pmfs_5_13,0,4.106843273449817
DIAG_COV,27,pmfs_4_18,10,2,7.108137219085907,11,0,0,0,1.647385868109694,0.08217206906973666,0.10139598286172166,1.2416471300622987,1.2727922061357855,pmfs_7_15,0,0.6488900812554093
DIAG_COV,27,pmfs_4_18,11,3,4.877590069215049,13,0,0,0,1.2310462001986415,0.013410565556601186,0.5237998847088248,1.0494784561586568,0.6000000000000005,pmfs_2_18,0,2.9589271769478733
DIAG_COV,27,pmfs_4_18,12,0,11.164031267211318,22,0,0,0,1.716732079585439,0.004091394013160166,0.09174507667204433,1.2097050882078875,1.2369316876852974,pmfs_5_14,0,4.889195868568763
DIAG_COV,27,pmfs_4_18,13,1,6.513798391192881,11,0,0,0,1.1793274939811544,0.004380223071395022,0.726818082641853,0.8841800657512005,0.5999999999999996,pmfs_6_18,0,1.5181463049481225
DIAG_COV,27,pmfs_4_18,14,2,5.671417010387734,14,0,0,0,1.3909384916679794,0.61955226165852,0.7299382257862833,0.7107545364052823,0.3000000000000007,pmfs_3_18,0,1.9564231521989228
DIAG_COV,27,pmfs_4_18,15,3,8.876606618654526,24,0,0,0,1.4788676530786256,0.6903635748318705,0.6990938603853013,0.7420382651867423,0.3000000000000007,pmfs_3_18,0,4.129753945671025
DIAG_COV,28,pmfs_5_12,0,0,0.012215069835086467,1,1,1,1,0.00016760376718827352,0.9879509855352758,0.9920856931891303,0.01511544957769244,0.0,pmfs_5_12,0,13.943414604655947
DIAG_COV,28,pmfs_5_12,1,1,2.0540897509645317,2,0,1,1,0.8750388249547782,0.19409497944638524,0.3175214336194968,1.1914223144354432,1.5297058540778357,pmfs_10_13,0,5.086740373972871
DIAG_COV,28,pmfs_5_12,2,2,5.049987707554838,5,0,0,1,1.878653329200777,0.9508155033465443,0.9781904088189363,0.45258237414659147,0.4242640687119289,pmfs_4_13,0,2.763675569633829
DIAG_COV,28,pmfs_5_12,3,3,0.5631420908856812,1,1,1,1,0.22778697817967875,0.5923852363800892,0.6515419235638243,0.5356906051742316,0.0,pmfs_5_12,0,5.594557287506014
DIAG_COV,28,pmfs_5_12,4,0,0.11048072942465481,1,1,1,1,0.013621660970939087,0.9002974233285146,0.9145223075067997,0.14601901508388448,0.0,pmfs_5_12,0,5.528598707390108
DIAG_COV,28,pmfs_5_12,5,1,1.3506690564954358,1,1,1,1,0.6278507798415118,0.40687528876970336,0.5770199368013817,0.7985958998437521,0.0,pmfs_5_12,0,3.9293920799127005
DIAG_COV,28,pmfs_5_12,6,2,3.2369834801274866,7,0,0,0,1.1211533422915296,0.08148371424554442,0.6172858880632115,0.9021952626979625,0.6708203932499377,pmfs_4_14,0,19.66030610323095
DIAG_COV,28,pmfs_5_12,7,3,1.7504478134143744,1,1,1,1,0.7662184333577504,0.17951457971153678,0.3963163071671912,1.1340371926203274,0.0,pmfs_5_12,0,10.304107667728836
