environment_index,source_index,target_index,candidate_index,candidate_id,occurrence_ll,conditional_mark_ll,upper_mark_ll,marked_ll,upper_ll,edf_squared_discrepancy,scaled_value_SSE,B2_positive_scale
0,4,2,4,pmfs_27_1,-72.363082931733629,-23.080715649785855,11.850357232673225,-95.443798581519488,-60.512725699060404,41.181777777777782,36349.352790283971,0.64342236315640899
0,4,2,5,pmfs_27_2,-73.283937239812929,-22.388191162759714,10.373677025424142,-95.672128402572639,-62.910260214388785,41.181777777777782,43952.239986267443,0.69634275871418727
0,4,3,0,pmfs_13_18,-381.45582138450419,-35.520388857200693,-35.520388857200693,-416.97621024170491,-416.97621024170491,76.031866666666673,229693.23932635851,1.3155558521750545e-06
0,4,3,1,pmfs_13_19,-352.19749030897492,-35.520388857200693,-35.520388857200693,-387.71787916617563,-387.71787916617563,75.990755555555552,229693.23932405212,1.0723005716669302e-05
0,4,3,2,pmfs_27_36,-402.44212681704226,-35.520388857200693,-35.520388857200693,-437.96251567424298,-437.96251567424298,74.240311111111112,229693.23932559061,1.1355629611549181e-06
0,4,3,3,pmfs_26_36,-386.99262826175755,-35.520388857200693,-35.520388857200693,-422.51301711895826,-422.51301711895826,74.165866666666659,229693.23930390348,7.0876105148468681e-06
0,4,3,4,pmfs_27_1,-79.357705725546253,-18.235628449191367,-12.706637301347065,-97.59333417473762,-92.064343026893312,41.82297777777778,41881.433618940093,0.69597301518188914
0,4,3,5,pmfs_27_2,-80.233636194638763,-17.481621571633504,-11.317351670630634,-97.715257766272259,-91.550987865269391,41.82297777777778,50829.963938969806,0.75310400811582723
0,5,0,0,pmfs_13_18,-386.59008532585824,-29.213665877884587,-29.213665877884587,-415.80375120374282,-415.80375120374282,75.340444444444458,42654.789689748068,1.7881827749044858e-06
0,5,0,1,pmfs_13_19,-357.4315588781659,-29.213665877884587,-29.213665877884587,-386.64522475605048,-386.64522475605048,75.297111111111121,42654.789689113961,5.9775591597226766e-06
0,5,0,2,pmfs_27_36,-406.97214668587083,-29.213665877884587,-29.213665877884587,-436.18581256375541,-436.18581256375541,73.548444444444442,42654.789689640718,5.6950041454158061e-07
0,5,0,3,pmfs_26_36,-391.34837777372604,-29.213665877884587,-29.213665877884587,-420.56204365161062,-420.56204365161062,73.468222222222238,42654.789685660886,3.0566781449254748e-06
0,5,0,4,pmfs_27_1,-72.363082931733629,-14.567715965849699,9.157475748443364,-86.93079889758333,-63.205607183290269,41.181333333333342,11077.432187506634,0.28537692170995776
0,5,0,5,pmfs_27_2,-73.283937239812929,-13.794407374557586,15.85411901715943,-87.078344614370508,-57.429818222653495,41.181333333333342,12564.559907348559,0.30889232770543867
0,5,1,0,pmfs_13_18,-387.48643585224693,-34.08557935068535,-34.08557935068535,-421.57201520293228,-421.57201520293228,75.346666666666678,30920.551818461703,8.0352607917381771e-06
0,5,1,1,pmfs_13_19,-358.46842545254822,-34.08557935068535,-34.08557935068535,-392.55400480323357,-392.55400480323357,75.303333333333342,30920.551816985455,1.3024361450534909e-05
0,5,1,2,pmfs_27_36,-408.70611576154033,-34.08557935068535,-34.08557935068535,-442.79169511222568,-442.79169511222568,73.557777777777787,30920.551819948018,9.0276515823359442e-07
0,5,1,3,pmfs_26_36,-392.7496539249064,-34.08557935068535,-34.08557935068535,-426.83523327559175,-426.83523327559175,73.474444444444444,30920.551815450024,3.3462638951831671e-06
0,5,1,4,pmfs_27_1,-69.433462583109957,-29.668770146631662,-11.623401614642743,-99.102232729741615,-81.056864197752702,41.184444444444445,7158.4472437095392,0.24755597246509881
0,5,1,5,pmfs_27_2,-70.409448441658697,-29.304002642502315,-14.336223747630669,-99.713451084161008,-84.745672189289365,41.184444444444445,8164.1292630410735,0.26862496011159093
0,5,2,0,pmfs_13_18,-383.24852243728151,-32.667912756004228,-32.667912756004228,-415.91643519328574,-415.91643519328574,76.042533333333338,36660.30910809998,6.1842469980098862e-06
0,5,2,1,pmfs_13_19,-354.27122345773955,-32.667912756004228,-32.667912756004228,-386.93913621374378,-386.93913621374378,76.001422222222232,36660.309106789718,1.1032398955976318e-05
0,5,2,2,pmfs_27_36,-405.91006496838133,-32.667912756004228,-32.667912756004228,-438.57797772438556,-438.57797772438556,74.256311111111117,36660.309108870191,8.0973566186262421e-07
0,5,2,3,pmfs_26_36,-389.7951805641182,-32.667912756004228,-32.667912756004228,-422.46309332012243,-422.46309332012243,74.176533333333339,36660.309104273714,3.3452520154839155e-06
0,5,2,4,pmfs_27_1,-73.498465028298938,-27.560580216490035,-8.9551013542613429,-101.05904524478898,-82.453566382560282,41.828311111111113,8856.2215564481157,0.26778440461807684
0,5,2,5,pmfs_27_2,-74.484658598330327,-27.219101290616635,-11.965309865101673,-101.70375988894696,-86.449968463432,41.828311111111113,10077.926630297941,0.29032960320466339
0,5,3,0,pmfs_13_18,-391.72434926721235,-33.561641812622447,-33.561641812622447,-425.28599107983479,-425.28599107983479,74.65905555555554,40948.702513739663,3.9707635773799761e-06
0,5,3,1,pmfs_13_19,-362.66562744735688,-33.561641812622447,-33.561641812622447,-396.22726925997932,-396.22726925997932,74.613499999999988,40948.702512735443,8.5314551075052046e-06
0,5,3,2,pmfs_27_36,-411.50216655469933,-33.561641812622447,-33.56162695666891,-445.06380836732177,-445.06379351136826,72.865944444444438,40948.702513925862,6.9021452497060842e-07
0,5,3,3,pmfs_26_36,-395.7041272856946,-33.561641812622447,-33.561641812622447,-429.26576909831704,-429.26576909831704,72.780166666666673,40948.702509520925,3.2416491390330386e-06
