phase	environment_index	house	wind	source_index	source_id	source_xyz	new_index	seed_key	requested_seed	run_dir
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=4	886144939	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_04_seed_886144939
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=5	714853421	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_05_seed_714853421
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=0	263728142	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_00_seed_263728142
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=1	1836268835	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_01_seed_1836268835
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=2	1352210341	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_02_seed_1352210341
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=3	1574161519	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_03_seed_1574161519
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=4	1929389675	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_04_seed_1929389675
REFERENCE	1	House02	3,5-1_slow	4	pmfs_2_38	[-4.64273, 4.099119999999999, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_38|reference_new_index=5	1733770917	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_38/reference_05_seed_1733770917
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=0	1640047955	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_00_seed_1640047955
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=1	1275419829	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_01_seed_1275419829
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=2	854555108	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_02_seed_854555108
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=3	1667106805	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_03_seed_1667106805
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=4	1744995792	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_04_seed_1744995792
REFERENCE	1	House02	3,5-1_slow	5	pmfs_2_37	[-4.64273, 3.7991200000000003, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_37|reference_new_index=5	167764527	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_37/reference_05_seed_167764527
