panel,pair_index,protocol,model,target_count,mean_nll,trimmed20_nll,tail_excess,misclassification_rate,mean_nll_given_error,q95_nll,max_nll
CENTRAL,1,P_E2,MATCHED_BLOCK_DIAG,32,3.7114630262607253,0.0002997591485772185,3.711163267112148,0.09375,39.46898880777269,20.117518369977827,74.9239489451401
CENTRAL,2,P_G1A,FULL,32,0.018873261358020515,0.00010914098840930971,0.018764120369611205,0.0,,0.09041710883983295,0.36143024987383354
CENTRAL,2,P_G1A,BLOCK_PRODUCT,32,0.5709237341823241,0.008406280267776057,0.5625174539145481,0.03125,16.79560415543773,0.39113504788615594,16.79560415543773
CENTRAL,2,P_G1A,MATCHED_BLOCK_DIAG,32,0.7398381727287289,0.0033011811437148957,0.736536991585014,0.0625,11.393158970858302,0.5387087222575746,22.03746171120317
CENTRAL,2,P_E2,FULL,32,0.8458974381832982,3.460038994516652e-05,0.845862837793353,0.0625,13.303094594036278,5.326584416609523,15.316120080679838
CENTRAL,2,P_E2,BLOCK_PRODUCT,32,0.5120999191202324,2.0009062577091752e-10,0.5120999189201418,0.03125,16.386984469017708,9.687139835632866e-05,16.386984469017708
CENTRAL,2,P_E2,MATCHED_BLOCK_DIAG,32,1.3127473104010203,0.00011125749594547864,1.312636052905075,0.0625,20.881830687994235,6.702942795355724,27.041436236187703
CENTRAL,3,P_G1A,FULL,32,30.811399497460663,0.23772481085617989,30.573674686604484,0.3125,98.4272727992492,37.806444431937116,892.5674262164916
CENTRAL,3,P_G1A,BLOCK_PRODUCT,32,18.321342914962322,0.3652112090726488,17.956131705889675,0.375,48.80395611212408,36.959990776721476,488.4912445465193
CENTRAL,3,P_G1A,MATCHED_BLOCK_DIAG,32,10.894006664304959,0.3644419528150712,10.529564711489888,0.28125,38.39202827399764,57.9618300615634,207.59785526520045
CENTRAL,3,P_E2,FULL,32,5.6797518910365365,0.8783826343365828,4.801369256699954,0.46875,12.021936874209073,14.93600224681591,112.45136611325012
CENTRAL,3,P_E2,BLOCK_PRODUCT,32,12.342390147817392,1.5272655329033595,10.815124614914033,0.40625,30.239440875259678,55.38384568255416,216.48348769897018
CENTRAL,3,P_E2,MATCHED_BLOCK_DIAG,32,6.339589990374386,1.5712447536934309,4.768345236680956,0.40625,15.462036063149593,19.703286454687454,103.76880780489107
CENTRAL,4,P_G1A,FULL,32,22.751411691127036,1.624004569586199,21.127407121540838,0.46875,48.51775307841981,61.42368426967296,538.9621880489101
CENTRAL,4,P_G1A,BLOCK_PRODUCT,32,41.39459223762752,1.7287249767708044,39.665867260856714,0.4375,94.51505431615047,67.22288082670987,1112.215472562342
CENTRAL,4,P_G1A,MATCHED_BLOCK_DIAG,32,24.470219585816874,2.133091915356645,22.33712767046023,0.46875,52.15604778281126,78.10795554353204,541.2960243630139
CENTRAL,4,P_E2,FULL,32,13.946867108989503,1.200509548127798,12.746357560861705,0.5,27.807247906957848,6.248344330270519,392.452310476058
CENTRAL,4,P_E2,BLOCK_PRODUCT,32,10.619594909792255,1.6162625099264232,9.003332399865831,0.5,21.187392271464365,14.287663036235728,260.25212526751017
CENTRAL,4,P_E2,MATCHED_BLOCK_DIAG,32,12.790474988857586,1.8314871119437943,10.958987876913792,0.5,25.547653728892552,7.402892988849338,337.92322630532385
CENTRAL,5,P_G1A,FULL,32,7.551973675754407e-46,6.522684251672072e-64,7.551973675754407e-46,0.0,,4.3605309234142375e-46,2.3197622636158805e-44
CENTRAL,5,P_G1A,BLOCK_PRODUCT,32,1.0494580852974667e-51,3.827762105684766e-71,1.0494580852974667e-51,0.0,,1.5912124751550154e-54,3.357916972308332e-50
CENTRAL,5,P_G1A,MATCHED_BLOCK_DIAG,32,4.380554035239883e-49,2.275313003688681e-68,4.380554035239883e-49,0.0,,8.61811992883214e-50,1.3826259136572254e-47
CENTRAL,5,P_E2,FULL,32,2.9639104895009657e-34,2.418804500789715e-44,2.9639104892590852e-34,0.0,,1.029954301679051e-33,7.200218312179446e-33
CENTRAL,5,P_E2,BLOCK_PRODUCT,32,9.881839063884013e-27,4.146485445473223e-42,9.881839063884008e-27,0.0,,2.701896243284171e-27,3.105491688031703e-25
CENTRAL,5,P_E2,MATCHED_BLOCK_DIAG,32,2.205479258969353e-37,5.609862492839958e-56,2.205479258969353e-37,0.0,,8.975262213319355e-41,7.057334475241432e-36
CENTRAL,6,P_G1A,FULL,32,0.23886973426727215,0.035191178121442346,0.2036785561458298,0.125,1.5234280880340185,1.4968819219302365,2.248805044146486
CENTRAL,6,P_G1A,BLOCK_PRODUCT,32,0.6692205136745666,0.2514944123933669,0.4177261012811997,0.3125,2.0640628261223464,3.0144705395638103,5.022038057710375
CENTRAL,6,P_G1A,MATCHED_BLOCK_DIAG,32,0.37513994439880854,0.12051040552938959,0.25462953886941897,0.25,1.4181980703686077,1.498782249843615,2.964708674513798
CENTRAL,6,P_E2,FULL,32,0.4494814437008858,0.11681547334781514,0.33266597035307066,0.21875,1.8294264075499325,2.155509280197316,3.4469772175935156
CENTRAL,6,P_E2,BLOCK_PRODUCT,32,0.6276240656087215,0.1674093831557733,0.4602146824529482,0.28125,2.1902024644748193,3.951082666082973,4.004485407627177
CENTRAL,6,P_E2,MATCHED_BLOCK_DIAG,32,0.6113055109388539,0.15251880716338626,0.4587867037754676,0.25,2.343389707094962,3.1079818753256125,4.922756139840909
CENTRAL,7,P_G1A,FULL,32,3.0414394008538954,0.015736703486179525,3.025702697367716,0.1875,16.16855438300749,4.25077391712186,82.0708907719594
CENTRAL,7,P_G1A,BLOCK_PRODUCT,32,1.3397354838241187,0.0034288660873889416,1.3363066177367298,0.15625,8.472649546493589,7.921019933422584,14.987852082842464
CENTRAL,7,P_G1A,MATCHED_BLOCK_DIAG,32,1.341603727049614,0.00958347069840378,1.3320202563512102,0.15625,8.516173914001435,8.27251770970043,15.773918016871455
CENTRAL,7,P_E2,FULL,32,0.6168449516988648,0.015205494582165344,0.6016394571166994,0.1875,3.2391546858887863,3.19929550187006,7.18662397824164
CENTRAL,7,P_E2,BLOCK_PRODUCT,32,1.3026752465521596,0.04337252059106072,1.259302725961099,0.1875,6.803026246307977,7.885752194768035,17.767055033609733
CENTRAL,7,P_E2,MATCHED_BLOCK_DIAG,32,1.3617014129981873,0.02222186977254652,1.3394795432256408,0.15625,8.541074843520466,7.71314916344601,19.663758775839142
CENTRAL,8,P_G1A,FULL,32,0.988281969187045,0.5911150396436549,0.39716692954339017,0.40625,2.3374859557001306,3.761568723280145,4.3203639256908914
