panel,pair_index,x_band,mid_x,mid_y,orientation,orientation_cos,orientation_sin,source0_x,source0_y,source1_x,source1_y,separation
CENTRAL,51,1,-2.99273,-2.5008799999999995,0.0,1.0,0.0,-3.14273,-2.5008799999999995,-2.84273,-2.5008799999999995,0.2999999999999998
CENTRAL,52,1,-2.3927300000000002,-2.5008799999999995,0.0,1.0,0.0,-2.54273,-2.5008799999999995,-2.24273,-2.5008799999999995,0.30000000000000027
CENTRAL,53,1,-1.7927300000000002,-2.5008799999999995,0.0,1.0,0.0,-1.94273,-2.5008799999999995,-1.6427300000000002,-2.5008799999999995,0.2999999999999998
CENTRAL,54,2,-1.1927299999999996,-2.5008799999999995,0.0,1.0,0.0,-1.34273,-2.5008799999999995,-1.0427299999999995,-2.5008799999999995,0.3000000000000005
CENTRAL,55,2,-0.59273,-2.5008799999999995,0.0,1.0,0.0,-0.7427299999999999,-2.5008799999999995,-0.44273,-2.5008799999999995,0.2999999999999999
CENTRAL,56,2,0.007269999999999652,-2.5008799999999995,0.0,1.0,0.0,-0.1427300000000002,-2.5008799999999995,0.1572699999999995,-2.5008799999999995,0.2999999999999997
CENTRAL,57,3,0.6072700000000002,-2.5008799999999995,0.0,1.0,0.0,0.4572700000000003,-2.5008799999999995,0.7572700000000001,-2.5008799999999995,0.2999999999999998
CENTRAL,58,3,1.2072699999999998,-2.5008799999999995,0.0,1.0,0.0,1.05727,-2.5008799999999995,1.3572699999999998,-2.5008799999999995,0.2999999999999998
CENTRAL,59,3,1.8072699999999995,-2.5008799999999995,0.0,1.0,0.0,1.6572699999999996,-2.5008799999999995,1.9572699999999996,-2.5008799999999995,0.30000000000000004
CENTRAL,60,0,-4.792730000000001,-2.20088,0.0,1.0,0.0,-4.94273,-2.20088,-4.64273,-2.20088,0.2999999999999998
CENTRAL,61,0,-4.19273,-2.20088,0.0,1.0,0.0,-4.34273,-2.20088,-4.04273,-2.20088,0.3000000000000007
CENTRAL,62,0,-3.59273,-2.20088,0.0,1.0,0.0,-3.74273,-2.20088,-3.44273,-2.20088,0.2999999999999998
CENTRAL,63,1,-2.99273,-2.20088,0.0,1.0,0.0,-3.14273,-2.20088,-2.84273,-2.20088,0.2999999999999998
CENTRAL,64,1,-2.3927300000000002,-2.20088,0.0,1.0,0.0,-2.54273,-2.20088,-2.24273,-2.20088,0.30000000000000027
CENTRAL,65,1,-1.7927300000000002,-2.20088,0.0,1.0,0.0,-1.94273,-2.20088,-1.6427300000000002,-2.20088,0.2999999999999998
CENTRAL,66,2,-1.1927299999999996,-2.20088,0.0,1.0,0.0,-1.34273,-2.20088,-1.0427299999999995,-2.20088,0.3000000000000005
CENTRAL,67,2,-0.59273,-2.20088,0.0,1.0,0.0,-0.7427299999999999,-2.20088,-0.44273,-2.20088,0.2999999999999999
CENTRAL,68,2,0.007269999999999652,-2.20088,0.0,1.0,0.0,-0.1427300000000002,-2.20088,0.1572699999999995,-2.20088,0.2999999999999997
CENTRAL,69,3,0.6072700000000002,-2.20088,0.0,1.0,0.0,0.4572700000000003,-2.20088,0.7572700000000001,-2.20088,0.2999999999999998
CENTRAL,70,3,1.2072699999999998,-2.20088,0.0,1.0,0.0,1.05727,-2.20088,1.3572699999999998,-2.20088,0.2999999999999998
CENTRAL,71,3,1.8072699999999995,-2.20088,0.0,1.0,0.0,1.6572699999999996,-2.20088,1.9572699999999996,-2.20088,0.30000000000000004
CENTRAL,72,0,-4.792730000000001,-1.90088,0.0,1.0,0.0,-4.94273,-1.90088,-4.64273,-1.90088,0.2999999999999998
CENTRAL,73,0,-4.19273,-1.90088,0.0,1.0,0.0,-4.34273,-1.90088,-4.04273,-1.90088,0.3000000000000007
CENTRAL,74,0,-3.59273,-1.90088,0.0,1.0,0.0,-3.74273,-1.90088,-3.44273,-1.90088,0.2999999999999998
CENTRAL,75,1,-2.99273,-1.90088,0.0,1.0,0.0,-3.14273,-1.90088,-2.84273,-1.90088,0.2999999999999998
CENTRAL,76,1,-2.3927300000000002,-1.90088,0.0,1.0,0.0,-2.54273,-1.90088,-2.24273,-1.90088,0.30000000000000027
CENTRAL,77,1,-1.7927300000000002,-1.90088,0.0,1.0,0.0,-1.94273,-1.90088,-1.6427300000000002,-1.90088,0.2999999999999998
CENTRAL,78,2,-1.1927299999999996,-1.90088,0.0,1.0,0.0,-1.34273,-1.90088,-1.0427299999999995,-1.90088,0.3000000000000005
CENTRAL,79,2,-0.59273,-1.90088,0.0,1.0,0.0,-0.7427299999999999,-1.90088,-0.44273,-1.90088,0.2999999999999999
CENTRAL,80,2,0.007269999999999652,-1.90088,0.0,1.0,0.0,-0.1427300000000002,-1.90088,0.1572699999999995,-1.90088,0.2999999999999997
CENTRAL,81,3,0.6072700000000002,-1.90088,0.0,1.0,0.0,0.4572700000000003,-1.90088,0.7572700000000001,-1.90088,0.2999999999999998
