panel,pair_index,x_band,source_x_mean_abs,source_x_rms,source_x_max_abs,source_x_median_abs,source_x_cosine,source_y_mean_abs,source_y_rms,source_y_max_abs,source_y_median_abs,source_y_cosine,probe_x_mean_abs,probe_x_rms,probe_x_max_abs,probe_x_median_abs,probe_x_cosine,probe_y_mean_abs,probe_y_rms,probe_y_max_abs,probe_y_median_abs,probe_y_cosine,euclidean_mean_abs,euclidean_rms,euclidean_max_abs,euclidean_median_abs,euclidean_cosine,geodesic_mean_abs,geodesic_rms,geodesic_max_abs,geodesic_median_abs,geodesic_cosine,los_mean_abs,los_rms,los_max_abs,los_median_abs,los_cosine,disconnected_mean_abs,disconnected_rms,disconnected_max_abs,disconnected_median_abs,disconnected_cosine,probe_centroid_x,probe_centroid_y,probe_spread_x,probe_spread_y,los_disagreement_fraction
CENTRAL,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0014030676856056634,0.0023142568559694765,0.0036960849091025594,-0.001982922309530011,0.0001569723468278772,-0.006429773960448498,-0.007034905373971667,0.0,0.0,-1.5151876534225117e-05,0.03333333333333333,0.18257418583505536,1.0,0.0,-0.04653741075440787,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.03333333333333333
CENTRAL,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.013902169054847091,0.008667297968528803,0.0028852541471913185,0.02469508681800553,0.00010306174313967631,0.019428090415820498,0.009230742330978203,0.0,0.0,0.00016428858229222687,0.03333333333333333,0.18257418583505536,1.0,0.0,-0.05131670194948623,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.03333333333333333
CENTRAL,22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.0012856278470578242,0.005069291906225792,0.002313652121796572,0.01322068007645999,0.00010931464917840472,0.010335016877961067,0.008801346450579839,0.0,0.0,0.00017680717848622685,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.01732004213324706,0.01460065717569961,0.0018959514640979336,0.026080729006572767,1.4987562411916677e-05,0.02171572875253791,0.013793132020307297,-2.220446049250313e-16,0.0,0.0001301616289585139,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.013380862048190945,-0.010034663072733152,0.0016535836795243952,-0.023681718106762895,-6.379716571414118e-05,0.015049062085871423,0.009251154332189149,0.0,0.0,0.0001567436062410721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.009061813362219395,-0.008259161957809014,0.0019699910976473944,-0.023149084916358476,-9.259225641278235e-05,0.01195262145875628,0.00648847196002611,0.0,0.0,0.00011470416316017307,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.01544520889409623,-0.01056293302220418,0.002386309293251898,-0.010534022856051761,-7.739497396863637e-05,0.006094757082487384,0.0036268452151251296,0.0,0.0,-4.895583522934732e-05,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.002672619359449485,-0.0035444210127597853,0.0029492518444840243,0.010269424483439149,-0.00011418554243536327,-0.0017157287525380593,-0.006507855050790823,0.0,0.0,-3.9429014872860435e-05,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.039231077169476825,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.00044485280166425833,-0.0010072531509623395,0.0037361940719158326,-0.008021969082793845,-8.118100447485066e-05,-0.0075735931288070935,-0.01190346932866898,0.0,0.0,-5.154030315657199e-05,0.0,0.0,0.0,0.0,-0.006197003903093523,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.007562899042948351,-0.00169050200144083,0.004882669308806875,-0.0060460101157115975,1.2446812811539587e-05,-0.009999999999999981,-0.008043562627529172,0.0,0.0,-0.00018114347204223336,0.0,0.0,0.0,0.0,-0.006197003903093523,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
