cell_index,grid_i,grid_j,x,y,occupancy
79,25,2,2.2572698593139648,-6.7008800506591797,Obstacle
80,26,2,2.5572700500488281,-6.7008800506591797,Obstacle
81,0,3,-5.2427301406860352,-6.4008798599243164,Obstacle
82,1,3,-4.9427304267883301,-6.4008798599243164,Free
83,2,3,-4.6427302360534668,-6.4008798599243164,Free
84,3,3,-4.3427300453186035,-6.4008798599243164,Free
85,4,3,-4.0427303314208984,-6.4008798599243164,Free
86,5,3,-3.7427301406860352,-6.4008798599243164,Free
87,6,3,-3.442730188369751,-6.4008798599243164,Free
88,7,3,-3.1427302360534668,-6.4008798599243164,Free
89,8,3,-2.8427300453186035,-6.4008798599243164,Free
90,9,3,-2.5427300930023193,-6.4008798599243164,Free
91,10,3,-2.2427301406860352,-6.4008798599243164,Free
92,11,3,-1.942730188369751,-6.4008798599243164,Free
93,12,3,-1.6427299976348877,-6.4008798599243164,Free
94,13,3,-1.3427300453186035,-6.4008798599243164,Free
95,14,3,-1.0427298545837402,-6.4008798599243164,Free
96,15,3,-0.74273014068603516,-6.4008798599243164,Obstacle
97,16,3,-0.44272994995117188,-6.4008798599243164,Obstacle
98,17,3,-0.1427302360534668,-6.4008798599243164,Obstacle
99,18,3,0.15726995468139648,-6.4008798599243164,Obstacle
100,19,3,0.45727014541625977,-6.4008798599243164,Obstacle
101,20,3,0.75726985931396484,-6.4008798599243164,Obstacle
102,21,3,1.0572700500488281,-6.4008798599243164,Obstacle
103,22,3,1.3572702407836914,-6.4008798599243164,Obstacle
104,23,3,1.6572699546813965,-6.4008798599243164,Obstacle
105,24,3,1.9572701454162598,-6.4008798599243164,Obstacle
106,25,3,2.2572698593139648,-6.4008798599243164,Obstacle
107,26,3,2.5572700500488281,-6.4008798599243164,Obstacle
108,0,4,-5.2427301406860352,-6.1008801460266113,Obstacle
109,1,4,-4.9427304267883301,-6.1008801460266113,Free
110,2,4,-4.6427302360534668,-6.1008801460266113,Free
111,3,4,-4.3427300453186035,-6.1008801460266113,Free
112,4,4,-4.0427303314208984,-6.1008801460266113,Free
113,5,4,-3.7427301406860352,-6.1008801460266113,Free
114,6,4,-3.442730188369751,-6.1008801460266113,Free
115,7,4,-3.1427302360534668,-6.1008801460266113,Free
116,8,4,-2.8427300453186035,-6.1008801460266113,Free
117,9,4,-2.5427300930023193,-6.1008801460266113,Free
118,10,4,-2.2427301406860352,-6.1008801460266113,Free
119,11,4,-1.942730188369751,-6.1008801460266113,Free
120,12,4,-1.6427299976348877,-6.1008801460266113,Free
121,13,4,-1.3427300453186035,-6.1008801460266113,Free
122,14,4,-1.0427298545837402,-6.1008801460266113,Free
123,15,4,-0.74273014068603516,-6.1008801460266113,Obstacle
124,16,4,-0.44272994995117188,-6.1008801460266113,Obstacle
125,17,4,-0.1427302360534668,-6.1008801460266113,Obstacle
126,18,4,0.15726995468139648,-6.1008801460266113,Obstacle
127,19,4,0.45727014541625977,-6.1008801460266113,Obstacle
128,20,4,0.75726985931396484,-6.1008801460266113,Obstacle
129,21,4,1.0572700500488281,-6.1008801460266113,Obstacle
130,22,4,1.3572702407836914,-6.1008801460266113,Obstacle
