panel,pair_index,protocol,source0_id,source1_id,distance_m,target_count,full_nll,bp_nll,mbd_nll,delta_bp,delta_mbd,full_accuracy,full_brier,block_product_accuracy,block_product_brier,matched_block_diag_accuracy,matched_block_diag_brier
CENTRAL,21,P_E2,pmfs_19_13,pmfs_20_13,0.2999999999999998,32,3.0667284744535768,4.52545296896055,5.055848453218268,1.4587244945069728,1.9891199787646916,0.6875,0.47842234190707544,0.71875,0.4517897943784468,0.6875,0.4675152799654236
CENTRAL,22,P_G1A,pmfs_21_13,pmfs_22_13,0.2999999999999998,32,0.7695920525643087,1.1409284684845704,1.540468259543994,0.3713364159202617,0.7708762069796853,0.625,0.520891739251687,0.59375,0.5936715198605277,0.625,0.6521537476684269
CENTRAL,22,P_E2,pmfs_21_13,pmfs_22_13,0.2999999999999998,32,1.1605495497712837,1.7743721109169734,1.6843012224333247,0.6138225611456898,0.523751672662041,0.65625,0.5879807203336218,0.625,0.6890946506260749,0.59375,0.7027469098893862
CENTRAL,23,P_G1A,pmfs_23_13,pmfs_24_13,0.30000000000000004,32,21.76730098924521,52.20777673020203,23.80885911060274,30.440475740956817,2.0415581213575287,0.46875,0.8539541066072356,0.40625,0.9238569415325442,0.40625,0.9545111095964176
CENTRAL,23,P_E2,pmfs_23_13,pmfs_24_13,0.30000000000000004,32,14.364775034966467,18.611138042822517,14.920841673695481,4.246363007856051,0.5560666387290141,0.5,0.7408228049288059,0.5,0.808561357483016,0.5,0.7842975167128734
CENTRAL,24,P_G1A,pmfs_1_14,pmfs_2_14,0.2999999999999998,32,8.58243467300653,2665.542634865035,7.280725500061891,2656.9602001920284,-1.3017091729446388,0.59375,0.7340270266172282,0.65625,0.6206038532343533,0.625,0.7087105578844005
CENTRAL,24,P_E2,pmfs_1_14,pmfs_2_14,0.2999999999999998,32,4.440778905934128,3.1073659573618637,4.968422212751144,-1.333412948572264,0.5276433068170165,0.90625,0.16044524117982017,0.96875,0.06250012686463012,0.90625,0.18750085926142973
CENTRAL,25,P_G1A,pmfs_3_14,pmfs_4_14,0.3000000000000007,32,0.009305256751354131,0.009012226816991323,0.0014808049181510357,-0.0002930299343628078,-0.007824451833203096,1.0,0.0024910044566525498,1.0,0.0020390326696636853,1.0,6.593287367714016e-05
CENTRAL,25,P_E2,pmfs_3_14,pmfs_4_14,0.3000000000000007,32,5.140377722582098,25.990020062155104,6.697720476562455,20.849642339573006,1.5573427539803566,0.8125,0.3249939517313867,0.6875,0.5903384418767437,0.78125,0.4477656399638308
CENTRAL,26,P_G1A,pmfs_5_14,pmfs_6_14,0.2999999999999998,32,16.043718756110888,35.140087771661406,16.513216822647315,19.09636901555052,0.46949806653642767,0.90625,0.18648043442164045,0.8125,0.30058600269914326,0.875,0.2657823424568973
CENTRAL,26,P_E2,pmfs_5_14,pmfs_6_14,0.2999999999999998,32,2.3447686985885428,3.947914708875285,4.1168029266661295,1.6031460102867423,1.7720342280775867,0.875,0.25574318261375717,0.6875,0.5535819145322035,0.75,0.3990025526886972
CENTRAL,27,P_G1A,pmfs_7_14,pmfs_8_14,0.2999999999999998,32,3.218337939296629,3.486633811922159,4.381280217442793,0.26829587262553023,1.162942278146164,0.5625,0.8418968629869112,0.75,0.4999157952448616,0.6875,0.5883950032389024
CENTRAL,27,P_E2,pmfs_7_14,pmfs_8_14,0.2999999999999998,32,2.12835801256404,1.8117246100678548,2.5079967445928206,-0.3166334024961852,0.3796387320287806,0.9375,0.11545752710785503,0.96875,0.06268420538388976,0.96875,0.09001812469011661
CENTRAL,28,P_G1A,pmfs_9_14,pmfs_10_14,0.30000000000000027,32,0.3856150071570402,2.5037129336194193,1.8529467484890771,2.118097926462379,1.4673317413320368,0.875,0.21017079763463536,0.84375,0.3312558194635681,0.8125,0.3342616226073776
