cell_index,u,v
387,-0.0008343199733644724,8.264499774668366e-05
388,-0.003002400044351816,0.002265600021928549
389,-0.0068894000723958015,0.0052847000770270824
390,-0.012242999859154224,0.007515700068324804
391,-0.017601000145077705,0.0074583999812603
392,-0.021446000784635544,0.005281699821352959
393,-0.023074999451637268,0.0019855001010000706
394,-0.02405400015413761,-0.000746709993109107
395,-0.026698000729084015,-0.0020401999354362488
396,-0.030125999823212624,-0.0030588998924940825
397,-0.03431500121951103,-0.0032232000958174467
398,-0.03895900025963783,-0.0024349999148398638
399,-0.04341299831867218,-0.001472500036470592
400,-0.04723000153899193,-0.0009552700212225318
401,-0.050248999148607254,-0.0008255600114353001
402,-0.05282900109887123,-0.0009289900190196931
403,-0.05757199972867966,-0.0015843999572098255
404,-0.0750180035829544,-0.0021967999637126923
406,0.00015623999934177846,-0.0015554999699816108
407,0.00018702000670600682,-0.0008317800238728523
408,0.00021562000620178878,-0.00036311999429017305
409,0.00022731999342795461,-9.451199730392545e-05
410,0.0001689000055193901,-1.20189997687703e-06
411,-5.197000064072199e-05,-6.180199852678925e-05
412,-0.0005395099869929254,-0.00017682999896351248
413,-0.0014549000188708305,4.6645000111311674e-05
414,-0.00315140001475811,0.0013858999591320753
415,-0.006215999834239483,0.004414000082761049
416,-0.011536999605596066,0.00849779974669218
417,-0.01925400085747242,0.011297999881207943
418,-0.026878999546170235,0.010854999534785748
419,-0.032423000782728195,0.00804890040308237
420,-0.035408999770879745,0.004360999912023544
421,-0.0374860018491745,0.001043400028720498
422,-0.04052500054240227,-0.0005018900264985859
423,-0.04391999915242195,-0.0010852999985218048
424,-0.04778200015425682,-0.0008171700173988938
425,-0.05195099860429764,8.605299808550626e-05
426,-0.056060999631881714,0.0011994000524282455
427,-0.05992500111460686,0.0021297999192029238
428,-0.0636420026421547,0.0027278000488877296
429,-0.06735099852085114,0.002853899961337447
430,-0.07183200120925903,0.002055899938568473
431,-0.08149900287389755,0.000344360014423728
433,3.0782000976614654e-05,-0.001617999980226159
434,6.154199945740402e-05,-0.0007987000280991197
435,7.225899753393605e-05,-0.00024669000413268805
436,5.8427998737897724e-05,0.0001271799992537126
437,-5.5510998208774254e-05,0.00039477000245824456
438,-0.00043461998575367033,0.0006095899734646082
439,-0.0012468999484553933,0.0008718200260773301
440,-0.00269660004414618,0.0015651000430807471
441,-0.005082299932837486,0.003484399989247322
442,-0.008896700106561184,0.007276500109583139
443,-0.015495999716222286,0.01242899987846613
444,-0.026009000837802887,0.016361000016331673
445,-0.0358630008995533,0.015584000386297703
446,-0.04261999949812889,0.011799000203609467
447,-0.04637499898672104,0.0075436001643538475
448,-0.04904299974441528,0.0037909001111984253
449,-0.05175799876451492,0.0015351000474765897
450,-0.05453599989414215,0.0006758699892088771
451,-0.05742599815130234,0.0009204699890688062
452,-0.060297999531030655,0.001702900044620037
453,-0.06276799738407135,0.0029430000577121973
454,-0.06483499705791473,0.0044883000664412975
455,-0.06749600172042847,0.006054200232028961
456,-0.07060699909925461,0.006457900162786245
457,-0.07440199702978134,0.004580100066959858
458,-0.0912259966135025,0.0014253000263124704
460,-3.140199987683445e-05,-0.0017637000419199467
461,2.1707999621867202e-05,-0.0007906900136731565
462,5.2578001486836e-05,-0.0001273399975616485
463,9.248300193576142e-05,0.00037980001070536673
464,5.900999894947745e-05,0.0008702899795025587
465,-0.00026587999309413135,0.0014654999831691384
466,-0.001091000041924417,0.002342799911275506
467,-0.002643600106239319,0.003896899987012148
468,-0.005224099848419428,0.006722600199282169
469,-0.009345100261271,0.011459999717772007
470,-0.017237000167369843,0.01795399934053421
471,-0.03086400032043457,0.023194000124931335
472,-0.04365700110793114,0.022288000211119652
473,-0.051885999739170074,0.016505999490618706
474,-0.05503400042653084,0.010962000116705894
475,-0.05761399865150452,0.007470500189810991
476,-0.059810999780893326,0.0040131001733243465
477,-0.06092400103807449,0.0021726000122725964
478,-0.061948999762535095,0.001998299965634942
479,-0.06325499713420868,0.00245820009149611
480,-0.06366000324487686,0.003401299938559532
481,-0.06961199641227722,0.004913200158625841
482,-0.06434199959039688,0.008028600364923477
483,-0.06739900261163712,0.009582900442183018
484,-0.07220400124788284,0.007970600388944149
485,-0.08828800171613693,0.0034209000878036022
487,-5.514599979505874e-05,-0.0019443000201135874
488,-4.836899825022556e-05,-0.0008564500021748245
489,6.479200237663463e-05,-0.00011130000348202884
490,0.0002566500043030828,0.0005236800061538815
491,0.0004539199871942401,0.0012365999864414334
492,0.0004755000118166208,0.002208299934864044
493,0.00010974999895552173,0.003700600005686283
494,-0.0008420399972237647,0.006136300042271614
495,-0.002646799897775054,0.01001300010830164
496,-0.006040299776941538,0.016005000099539757
497,-0.015116999857127666,0.025330999866127968
498,-0.03188899904489517,0.03295600041747093
499,-0.048951998353004456,0.03383199870586395
500,-0.060336001217365265,0.01876099966466427
501,-0.05270899832248688,0.008088599890470505
502,-0.05249800160527229,0.005843800026923418
503,-0.05128699913620949,0.003163800109177828
