mode,candidate_id,source_sample,replica,source_x,source_y,score
persistent,quadtree_6_1_3_1,1,7,-5.4660091400146484375,-7.2970333099365234375,0.112037669597498749149
persistent,quadtree_6_1_3_1,2,0,-4.88486146926879882812,-7.50799798965454101562,0.102363638065059027745
persistent,quadtree_6_1_3_1,2,1,-4.88486146926879882812,-7.50799798965454101562,0.115892434229214858746
persistent,quadtree_6_1_3_1,2,2,-4.88486146926879882812,-7.50799798965454101562,0.096836035881121950698
persistent,quadtree_6_1_3_1,2,3,-4.88486146926879882812,-7.50799798965454101562,0.112141220362661902598
persistent,quadtree_6_1_3_1,2,4,-4.88486146926879882812,-7.50799798965454101562,0.127313227595383683614
persistent,quadtree_6_1_3_1,2,5,-4.88486146926879882812,-7.50799798965454101562,0.112843364592613488702
persistent,quadtree_6_1_3_1,2,6,-4.88486146926879882812,-7.50799798965454101562,0.116327778451680555317
persistent,quadtree_6_1_3_1,2,7,-4.88486146926879882812,-7.50799798965454101562,0.119851947052102461367
persistent,quadtree_6_1_3_1,3,0,-5.71872806549072265625,-7.36718797683715820312,0.102374384436694248553
persistent,quadtree_6_1_3_1,3,1,-5.71872806549072265625,-7.36718797683715820312,0.107481925165202263445
persistent,quadtree_6_1_3_1,3,2,-5.71872806549072265625,-7.36718797683715820312,0.095561996981798541646
persistent,quadtree_6_1_3_1,3,3,-5.71872806549072265625,-7.36718797683715820312,0.104370801404275590109
persistent,quadtree_6_1_3_1,3,4,-5.71872806549072265625,-7.36718797683715820312,0.121551713488500243057
persistent,quadtree_6_1_3_1,3,5,-5.71872806549072265625,-7.36718797683715820312,0.105167154030964639892
persistent,quadtree_6_1_3_1,3,6,-5.71872806549072265625,-7.36718797683715820312,0.118240984237206895875
persistent,quadtree_6_1_3_1,3,7,-5.71872806549072265625,-7.36718797683715820312,0.110298475816811681467
persistent,quadtree_6_1_3_1,4,0,-4.86670064926147460938,-7.54671049118041992188,0.104414374853132788715
persistent,quadtree_6_1_3_1,4,1,-4.86670064926147460938,-7.54671049118041992188,0.113713935597020353499
persistent,quadtree_6_1_3_1,4,2,-4.86670064926147460938,-7.54671049118041992188,0.0985792364307514369428
