t_sim_s,step,x,y,z,yaw,vx,vy,vz
76.2,382,0.027268333435056746,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
76.4,383,0.09726833343506058,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
76.60000000000001,384,0.16726833343506087,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
76.80000000000001,385,0.23726833343506115,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
77.0,386,0.3072683334350579,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
77.2,387,0.37726833343505817,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
77.4,388,0.44726833343505845,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
77.60000000000001,389,0.5172683334350587,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
77.80000000000001,390,0.5872683334350626,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
78.0,391,0.6572683334350558,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
78.2,392,0.7272683334350596,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
78.4,393,0.7972683334350599,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
78.60000000000001,394,0.8672683334350602,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
78.80000000000001,395,0.9372683334350604,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
79.0,396,1.0072683334350572,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
79.2,397,1.0772683334350575,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
79.4,398,1.1472683334350577,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
79.60000000000001,399,1.2172683334350616,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
79.80000000000001,400,1.2872683334350619,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
80.0,401,1.3572683334350586,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
80.2,402,1.4272683334350589,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
80.4,403,1.4572696685791016,2.7591212844848627,0.4,-1.5707963267948966,0.0,-0.35,0.0
80.60000000000001,404,1.4672689056396493,2.69912052154541,0.4,0.0,0.35,0.0,0.0
80.80000000000001,405,1.5372689056396496,2.69912052154541,0.4,0.0,0.35,0.0,0.0
81.0,406,1.6072689056396463,2.69912052154541,0.4,0.0,0.35,0.0,0.0
81.2,407,1.6772689056396466,2.69912052154541,0.4,0.0,0.35,0.0,0.0
81.4,408,1.7472689056396469,2.69912052154541,0.4,0.0,0.35,0.0,0.0
81.60000000000001,409,1.8172689056396507,2.69912052154541,0.4,0.0,0.35,0.0,0.0
81.80000000000001,410,1.8572697639465332,2.6691213798522924,0.4,-1.5707963267948966,0.0,-0.35,0.0
82.0,411,1.8572697639465332,2.5991213798522956,0.4,-1.5707963267948966,0.0,-0.35,0.0
82.2,412,1.9272685241699214,2.5991201400756836,0.4,0.0,0.35,0.0,0.0
82.4,413,1.9572696685791016,2.5591212844848634,0.4,-1.5707963267948966,0.0,-0.35,0.0
82.60000000000001,414,1.9672681427001955,2.499119758605957,0.4,0.0,0.35,0.0,0.0
82.80000000000001,415,2.0372681427001957,2.499119758605957,0.4,0.0,0.35,0.0,0.0
83.0,416,2.057270050048828,2.4491216659545927,0.4,-1.5707963267948966,0.0,-0.35,0.0
83.2,417,2.0772687149047826,2.399120330810547,0.4,0.0,0.35,0.0,0.0
83.4,418,2.1472687149047864,2.399120330810547,0.4,0.0,0.35,0.0,0.0
83.60000000000001,419,2.1572699546813965,2.3391215705871566,0.4,-1.5707963267948966,0.0,-0.35,0.0
83.80000000000001,420,2.1872683334350604,2.2991199493408203,0.4,0.0,0.35,0.0,0.0
84.0,421,2.257268333435057,2.2991199493408203,0.4,0.0,0.35,0.0,0.0
84.2,422,2.3272683334350575,2.2991199493408203,0.4,0.0,0.35,0.0,0.0
84.4,423,2.3172711944580087,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
84.60000000000001,424,2.2472711944580084,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
84.80000000000001,425,2.1772711944580045,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
85.0,426,2.1072711944580114,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
85.2,427,2.0372711944580075,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
85.4,428,1.9672711944580072,2.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
85.60000000000001,429,1.9572696685791016,2.359118423461915,0.4,1.5707963267948966,0.0,0.35,0.0
85.80000000000001,430,1.9272715759277332,2.399120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
86.0,431,1.8572715759277365,2.399120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
86.2,432,1.8572697639465332,2.469118518829344,0.4,1.5707963267948966,0.0,0.35,0.0
86.4,433,1.817271003723146,2.499119758605957,0.4,3.141592653589793,-0.35,0.0,0.0
86.60000000000001,434,1.7572698593139648,2.5091186141967796,0.4,1.5707963267948966,0.0,0.35,0.0
86.80000000000001,435,1.7572698593139648,2.57911861419678,0.4,1.5707963267948966,0.0,0.35,0.0
