"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-1.2829e-05,-1.3891e-05,1.0894e-07,9.4556,4.1516,0.34219
-9.2688e-06,-1.0136e-05,2.1041e-08,9.4601,4.0502,0.2384
-6.5988e-06,-6.7055e-06,-4.9263e-08,9.4614,3.9499,0.13285
-3.6123e-06,-3.2878e-06,-2.1598e-07,9.4587,3.85,0.039901
-1.2195e-05,-2.1001e-05,1.2088e-07,9.5452,4.2564,0.54792
-7.7301e-06,-1.583e-05,1.6576e-07,9.5565,4.1516,0.44771
-5.3786e-06,-1.1514e-05,1.9747e-07,9.5638,4.0501,0.34666
-4.0956e-06,-8.1036e-06,1.4637e-07,9.5674,3.9499,0.2435
-3.1349e-06,-5.2609e-06,8.9365e-08,9.5689,3.85,0.13594
-1.8853e-06,-2.79e-06,8.1553e-08,9.5606,3.7502,0.040292
-7.3451e-06,-1.9073e-05,8.5732e-09,9.6463,4.2453,0.64963
-4.4075e-06,-1.2284e-05,7.7107e-08,9.6536,4.1461,0.54979
-1.9392e-06,-8.0259e-06,1.542e-07,9.6576,4.0487,0.44997
-1.4421e-06,-5.7447e-06,1.9211e-07,9.6593,3.9497,0.35007
-1.2375e-06,-4.3186e-06,1.5893e-07,9.6601,3.8502,0.24993
-1.0581e-06,-3.329e-06,-6.7961e-09,9.6604,3.7512,0.14904
-6.4641e-07,-1.7953e-06,2.0783e-09,9.6542,3.6526,0.054577
-1.8347e-05,9.9029e-06,2.987e-07,8.9501,4.35,0.039866
-2.5258e-05,7.5402e-06,1.7168e-07,9.0501,4.45,0.039882
-2.814e-05,6.3553e-06,6.2207e-09,9.0503,4.3501,0.13029
-3.3056e-05,2.0266e-06,-8.6742e-08,9.1501,4.5501,0.039896
-3.6421e-05,2.6686e-07,-1.716e-07,9.1502,4.4502,0.1304
-3.1182e-05,-8.9708e-07,-1.6604e-07,9.1506,4.3506,0.23207
-4.0179e-05,-7.5175e-06,-1.4558e-07,9.25,4.6501,0.039911
-4.4325e-05,-9.7603e-06,-2.4698e-07,9.2501,4.5504,0.1305
-3.8085e-05,-9.4503e-06,-2.8482e-07,9.2501,4.4511,0.23245
-3.0817e-05,-8.5689e-06,-1.8548e-07,9.2503,4.3517,0.33539
-4.485e-05,-2.1918e-05,-1.8682e-07,9.35,4.7501,0.039934
-4.9902e-05,-2.4624e-05,-2.2188e-07,9.35,4.6505,0.1306
-4.318e-05,-2.1498e-05,-3.6128e-07,9.3495,4.5516,0.23277
-3.5499e-05,-1.8321e-05,-2.765e-07,9.3487,4.4531,0.33626
-2.8302e-05,-1.591e-05,1.8875e-08,9.3485,4.354,0.44025
-4.4741e-05,-4.0703e-05,-1.5313e-06,9.45,4.8501,0.040002
-5.0931e-05,-4.4519e-05,-2.9132e-07,9.4499,4.7505,0.13078
-4.4638e-05,-3.7631e-05,-3.6309e-07,9.4493,4.6519,0.23303
-3.7261e-05,-3.074e-05,-2.892e-07,9.4476,4.5542,0.33677
-3.0627e-05,-2.5774e-05,2.9915e-08,9.4454,4.4566,0.44127
-2.4474e-05,-2.2107e-05,2.3909e-07,9.4449,4.357,0.54472
-3.8479e-05,-6.1982e-05,-1.6213e-06,9.55,4.9501,0.040219
-4.5469e-05,-6.7793e-05,-8.2514e-08,9.5499,4.8505,0.13123
-4.0501e-05,-5.6942e-05,-2.9552e-07,9.5495,4.7518,0.23335
-3.4329e-05,-4.5705e-05,-2.2807e-07,9.548,4.6545,0.3368
-2.9106e-05,-3.6997e-05,6.7654e-08,9.545,4.558,0.44139
-2.453e-05,-3.0799e-05,2.768e-07,9.5414,4.4605,0.54523
-1.9637e-05,-2.5996e-05,1.4864e-07,9.539,4.3608,0.64766
-2.6654e-05,-8.1525e-05,1.9512e-06,9.65,5.0501,0.040849
-3.2879e-05,-8.8967e-05,6.9747e-07,9.65,4.9504,0.13236
-2.9698e-05,-7.4485e-05,-1.8976e-08,9.6498,4.8515,0.23401
-2.5331e-05,-5.9314e-05,-1.9898e-07,9.6491,4.7538,0.33665
-2.1893e-05,-4.7097e-05,4.121e-08,9.6473,4.6577,0.44067
-1.9558e-05,-3.7856e-05,2.6098e-07,9.644,4.5615,0.54468
-1.7698e-05,-3.1045e-05,1.929e-07,9.6385,4.4643,0.64758
-1.2015e-05,-2.4351e-05,-1.0911e-07,9.6385,4.356,0.74921
-1.1269e-05,-8.3659e-05,2.4245e-06,9.75,5.15,0.044002
-1.3693e-05,-8.5029e-05,4.9744e-07,9.75,5.0503,0.13487
-1.2311e-05,-6.9701e-05,1.6123e-07,9.75,4.9512,0.2351
-1.041e-05,-5.4703e-05,-9.4379e-08,9.7499,4.853,0.33658
-8.8053e-06,-4.2596e-05,-8.9997e-08,9.7495,4.7562,0.43955
-7.7613e-06,-3.2999e-05,9.372e-08,9.7486,4.6602,0.54335
-7.2822e-06,-2.5248e-05,1.5834e-07,9.7471,4.5639,0.64651
-7.3727e-06,-1.7977e-05,1.826e-08,9.7438,4.467,0.74866
-5.5431e-06,-1.2169e-05,-2.8955e-07,9.7458,4.3544,0.84974
-1.4885e-05,7.4004e-06,1.6958e-07,8.9501,4.25,0.039865
-2.2613e-05,4.5481e-06,-2.4596e-08,9.0504,4.2501,0.13031
-1.2935e-05,3.0834e-06,-1.1778e-07,9.0503,4.15,0.039894
-2.4753e-05,-1.1123e-06,-1.56e-07,9.1511,4.2504,0.23222
-1.8269e-05,-6.7794e-07,-1.5125e-07,9.1512,4.1501,0.13057
-1.0376e-05,1.2331e-07,-3.5812e-07,9.1509,4.05,0.039943
-2.4012e-05,-7.2233e-06,-9.0175e-08,9.2514,4.2513,0.33588
-1.8471e-05,-5.5788e-06,-1.4686e-07,9.2527,4.1504,0.23331
-1.3533e-05,-3.8109e-06,-1.6329e-07,9.253,4.05,0.131
-7.6353e-06,-1.6034e-06,-2.4245e-07,9.2525,3.95,0.040005
-2.159e-05,-1.3156e-05,6.5908e-08,9.3508,4.253,0.44115
-1.6327e-05,-1.0153e-05,2.8335e-09,9.3542,4.1512,0.33872
-1.24e-05,-7.5883e-06,-8.1061e-08,9.3563,4.0502,0.23526
-9.0825e-06,-5.1307e-06,-1.0246e-07,9.3564,3.9499,0.13167
-5.1275e-06,-2.3619e-06,-1.5524e-07,9.3551,3.85,0.040021
-1.787e-05,-1.8173e-05,1.054e-07,9.4488,4.2548,0.5457
-1.2839e-05,-1.4055e-05,1.2431e-07,9.4552,4.152,0.44478
-9.4238e-06,-1.0513e-05,1.4706e-07,9.46,4.0504,0.34266
-7.1869e-06,-7.6317e-06,4.7457e-08,9.462,3.9499,0.23858
-5.3109e-06,-5.0938e-06,2.4151e-08,9.4614,3.8499,0.13287
-2.9672e-06,-2.5454e-06,-2.1182e-07,9.4577,3.75,0.039899
-1.2221e-05,-2.0966e-05,5.6264e-09,9.545,4.2566,0.64848
-7.7432e-06,-1.5875e-05,7.2693e-08,9.5563,4.1517,0.54845
-5.4158e-06,-1.1661e-05,2.0124e-07,9.5633,4.0502,0.44809
-4.1873e-06,-8.4936e-06,2.6057e-07,9.5665,3.9499,0.34687
-3.4345e-06,-6.1512e-06,1.8395e-07,9.5674,3.8499,0.24351
-2.7446e-06,-4.088e-06,1.4415e-07,9.5667,3.7501,0.13577
-1.6189e-06,-2.111e-06,9.6826e-08,9.5578,3.6501,0.04027
-7.3462e-06,-1.9021e-05,-1.4501e-07,9.6463,4.2454,0.74972
-4.4059e-06,-1.2271e-05,-4.0815e-08,9.6535,4.1461,0.6498
-1.9455e-06,-8.0463e-06,7.1601e-08,9.6575,4.0488,0.54993
-1.4374e-06,-5.7534e-06,1.9741e-07,9.659,3.9497,0.45009
-1.2125e-06,-4.2793e-06,2.5342e-07,9.6593,3.8502,0.35008
-1.0879e-06,-3.2584e-06,1.8255e-07,9.6587,3.7513,0.24966
-9.8489e-07,-2.5372e-06,-2.8796e-08,9.657,3.6536,0.14847
-5.4666e-07,-1.5266e-06,9.833e-08,9.6518,3.5526,0.057884
-1.5713e-05,1.3491e-05,2.7935e-07,8.85,4.35,0.039857
-2.299e-05,1.3392e-05,4.5224e-07,8.95,4.45,0.03987
