source_update_id,query_id,cell_index,x,y,service_u,service_v,internal_u,internal_v,internal_magnitude,raw_component_max_abs_diff,float32_component_max_abs_diff,angle_abs_rad
1,21,425,-1.6999998092651367,-3.5299997329711914,-0.24433,-0.11557,-0.2443300038576126,-0.11557000130414963,0.2702842503485953,3.857612618229922e-09,0.0,1.7409336194873504e-09
1,21,426,-1.4000000953674316,-3.5299997329711914,-0.13521,-0.119,-0.13521000742912292,-0.11900000274181366,0.18011870186500661,7.429122927948839e-09,0.0,1.582310593661873e-08
1,21,427,-1.0999999046325684,-3.5299997329711914,-0.068193,-0.10083,-0.06819300353527069,-0.10083000361919403,0.12172499891562177,3.6191940278040846e-09,0.0,7.400812407354351e-09
1,21,428,-0.79999971389770508,-3.5299997329711914,-0.028108,-0.046957,-0.02810800075531006,-0.046957001090049744,0.05472677277011174,1.0900497449117807e-09,0.0,1.6120011991915817e-09
1,21,429,-0.5,-3.5299997329711914,-0.0086148,-0.017287,-0.008614799939095974,-0.01728699915111065,0.019314634804757463,8.488893511737761e-10,0.0,1.6780801637139575e-08
1,21,430,-0.19999980926513672,-3.5299997329711914,-0.0027425,-0.0079168,-0.0027425000444054604,-0.007916799746453762,0.008378366470799323,2.535462378244757e-10,0.0,1.4913732915289302e-08
1,21,431,0.099999904632568359,-3.5299997329711914,-0.0012223,-0.0043563,-0.0012222999939695,-0.004356299992650747,0.004524529467384066,7.34925228312866e-12,0.0,8.444809296292988e-10
1,21,432,0.40000009536743164,-3.5299997329711914,-0.00098954,-0.0022973,-0.0009895400144159794,-0.002297299914062023,0.0025013548999052006,8.593797678688175e-11,0.0,1.8884627639437213e-08
1,21,433,0.69999980926513672,-3.5299997329711914,-0.00053651,-0.00094689,-0.0005365100223571062,-0.0009468899806961417,0.0010883214780717885,2.2357106183729103e-11,0.0,2.6617081427815492e-08
1,21,441,-5.6000003814697266,-3.2300000190734863,-0.042748,-0.033175,-0.04274800047278404,-0.03317499905824661,0.05411073929393137,9.417533905486941e-10,0.0,1.9106289883552563e-08
1,21,442,-5.3000001907348633,-3.2300000190734863,-0.083374,-0.026267,-0.08337400108575821,-0.026266999542713165,0.08741383941930994,1.0857582055656678e-09,0.0,8.721879218853701e-09
1,21,443,-5,-3.2300000190734863,-0.11779,-0.022468,-0.11778999865055084,-0.022468000650405884,0.11991369744663621,1.3494491635235306e-09,0.0,7.436437687857733e-09
1,21,444,-4.6999998092651367,-3.2300000190734863,-0.14565,-0.014951,-0.1456499993801117,-0.014950999990105629,0.14641535001539516,6.198883073516015e-10,0.0,3.651008384508714e-10
1,21,445,-4.4000000953674316,-3.2300000190734863,-0.16357,-0.0034579,-0.16357000172138214,-0.0034578999038785696,0.16360654795844268,1.7213821479344915e-09,0.0,8.097611470248012e-10
1,21,446,-4.1000003814697266,-3.2300000190734863,-0.18601,-0.0024659,-0.18601000308990479,-0.002465900033712387,0.1860263473610194,3.0899047764876286e-09,0.0,3.8968828164342995e-11
1,21,447,-3.7999999523162842,-3.2300000190734863,-0.17217,-0.011881,-0.1721699982881546,-0.011881000362336636,0.17257944976199513,1.7118453876641126e-09,0.0,2.7774262889579404e-09
1,21,448,-3.5,-3.2300000190734863,-0.17317,-0.0092324,-0.17317000031471252,-0.009232399985194206,0.17341593415394144,3.147125338109902e-10,0.0,1.8187229500199464e-10
1,21,449,-3.1999998092651367,-3.2300000190734863,-0.18291,-0.020228,-0.1829099953174591,-0.020228000357747078,0.18402510259610216,4.68254088281661e-09,0.0,4.7291548455064e-09
1,21,450,-2.9000000953674316,-3.2300000190734863,-0.21144,-0.039416,-0.21143999695777893,-0.03941600024700165,0.21508252692624102,3.042221058402461e-09,0.0,3.7210630132733513e-09
