t_sim_s,x,y,z
53.2,-0.20981256035432033,-6.620187439645679,0.3
53.4,-0.2593914594272734,-6.570608540572726,0.3
53.6,-0.3089703585002314,-6.5210296414997675,0.3
53.8,-0.3585492575731891,-6.47145074242681,0.3
54.0,-0.40812815664614427,-6.421871843353855,0.3
54.2,-0.4577070557190994,-6.3722929442808995,0.3
54.4,-0.4999999999999991,-6.319696103918234,0.3
54.6,-0.4999999999999991,-6.249580952441735,0.3
54.8,-0.4999999999999991,-6.179465800965236,0.3
55.0,-0.5146012957736139,-6.1153987042263855,0.3
55.2,-0.564180194846572,-6.065819805153427,0.3
55.4,-0.5999999999999996,-6.0105417027730415,0.3
55.6,-0.5999999999999996,-5.9404265512965395,0.3
55.8,-0.5999999999999996,-5.870311399820037,0.3
56.0,-0.5999999999999996,-5.800196248343542,0.3
56.2,-0.5999999999999996,-5.730081096867039,0.3
56.4,-0.6495215549283413,-5.6804784450716586,0.3
56.6,-0.699100454001294,-5.630899545998705,0.3
56.8,-0.748679353074252,-5.5813206469257475,0.3
57.0,-0.7982582521472101,-5.531741747852789,0.3
57.2,-0.8478371512201653,-5.482162848779834,0.3
57.4,-0.8974160502931205,-5.432583949706879,0.3
57.6,-0.8999999999999995,-5.363539105243455,0.3
57.8,-0.9258631703203777,-5.304136829679622,0.3
58.0,-0.9754420693933328,-5.254557930606666,0.3
58.2,-0.9999999999999991,-5.194615007051262,0.3
58.4,-1.0038891894205901,-5.126110810579409,0.3
58.6,-1.0534680884935457,-5.0765319115064536,0.3
58.8,-1.1030469875665037,-5.026953012433495,0.3
59.0,-1.1526258866394614,-4.977374113360538,0.3
59.2,-1.1999999999999993,-4.926881962143376,0.3
59.4,-1.1999999999999993,-4.8567668106668735,0.3
59.6,-1.230651905739674,-4.799348094260325,0.3
59.8,-1.280230804812627,-4.749769195187373,0.3
60.0,-1.2999999999999998,-4.68784271247468,0.3
60.2,-1.308677924839887,-4.621322075160113,0.3
60.4,-1.358256823912842,-4.571743176087157,0.3
60.6,-1.3999999999999995,-4.5189186142824855,0.3
60.8,-1.3999999999999995,-4.448803462805984,0.3
61.0,-1.3999999999999995,-4.378688311329484,0.3
61.2,-1.415151063967354,-4.314848936032646,0.3
61.4,-1.4647299630403117,-4.265270036959687,0.3
61.6,-1.5143088621132668,-4.215691137886732,0.3
61.8,-1.5638877611862225,-4.166112238813777,0.3
62.0,-1.6134666602591805,-4.116533339740819,0.3
62.2,-1.6630455593321356,-4.066954440667863,0.3
62.4,-1.6999999999999993,-4.012146319705904,0.3
62.6,-1.6999999999999993,-3.942031168229402,0.3
62.8,-1.6999999999999993,-3.8719160167529028,0.3
63.0,-1.7199397993866476,-3.8100602006133517,0.3
63.2,-1.7695186984596056,-3.7604813015403935,0.3
63.4,-1.8270080814392906,-3.7299999999999995,0.3
63.6,-1.8971232329157894,-3.7299999999999995,0.3
63.8,-1.967238384392292,-3.7299999999999995,0.3
64.0,-2.0373535358687946,-3.7299999999999995,0.3
64.2,-2.1074686873452944,-3.7299999999999995,0.3
64.4,-2.177583838821793,-3.7299999999999995,0.3
64.6,-2.233728279495677,-3.7637282794956772,0.3
64.8,-2.2833071785686325,-3.8133071785686328,0.3
65.0,-2.3,-3.8765079370139874,0.3
65.2,-2.3,-3.94662308849049,0.3
65.4,-2.3,-4.016738239966989,0.3
65.6,-2.3,-4.086853391443488,0.3
65.8,-2.3,-4.156968542919991,0.3
66.0,-2.3,-4.22708369439649,0.3
66.2,-2.347516759604701,-4.277516759604701,0.3
66.4,-2.397095658677659,-4.327095658677659,0.3
66.6,-2.3999999999999995,-4.3960077925886845,0.3
66.8,-2.3999999999999995,-4.466122944065183,0.3
67.0,-2.4044109996592153,-4.534410999659215,0.3
67.2,-2.4539898987321704,-4.583989898732171,0.3
67.4,-2.499999999999999,-4.635047042257381,0.3
67.6,-2.499999999999999,-4.70516219373388,0.3
67.8,-2.499999999999999,-4.775277345210379,0.3
68.0,-2.510884138786685,-4.840884138786686,0.3
68.2,-2.5604630378596407,-4.890463037859641,0.3
68.4,-2.5999999999999996,-4.944201443402573,0.3
68.6,-2.5999999999999996,-5.014316594879075,0.3
68.8,-2.638489056959853,-5.068489056959853,0.3
69.0,-2.6880679560328082,-5.118067956032809,0.3
69.2,-2.7376468551057664,-5.167646855105767,0.3
69.4,-2.787225754178722,-5.217225754178722,0.3
69.6,-2.8368046532516797,-5.26680465325168,0.3
69.8,-2.886383552324635,-5.316383552324636,0.3
70.0,-2.8999999999999995,-5.380858586502655,0.3
70.2,-2.914830672351892,-5.444830672351892,0.3
70.4,-2.9644095714248477,-5.494409571424848,0.3
70.6,-3.0139884704978033,-5.543988470497803,0.3
70.8,-3.063567369570761,-5.593567369570761,0.3
71.0,-3.113146268643716,-5.643146268643717,0.3
71.2,-3.162725167716674,-5.692725167716675,0.3
71.4,-3.1999999999999993,-5.747400578126239,0.3
71.6,-3.1999999999999993,-5.8175157296027376,0.3
71.8,-3.1999999999999993,-5.88763088107924,0.3
72.0,-3.1999999999999993,-5.957746032555739,0.3
72.2,-3.1999999999999993,-6.027861184032238,0.3
72.4,-3.1999999999999993,-6.097976335508741,0.3
72.6,-3.1999999999999993,-6.16809148698524,0.3
72.8,-3.1999999999999993,-6.238206638461739,0.3
73.0,-3.1999999999999993,-6.308321789938242,0.3
73.2,-3.1999999999999993,-6.3784369414147415,0.3
73.4,-3.2131183106885985,-6.443118310688599,0.3
73.6,-3.2626972097615567,-6.492697209761556,0.3
73.8,-3.3,-6.512638960393064,0.3
74.0,-3.3,-6.442523808916565,0.3
74.2,-3.3,-6.3724086574400625,0.3
74.4,-3.3,-6.30229350596356,0.3
74.6,-3.3,-6.23217835448706,0.3
74.8,-3.3,-6.162063203010561,0.3
75.0,-3.3,-6.091948051534058,0.3
75.2,-3.3,-6.021832900057559,0.3
75.4,-3.3,-5.951717748581061,0.3
75.6,-3.3,-5.881602597104558,0.3
75.8,-3.3,-5.8114874456280585,0.3
76.0,-3.3,-5.74137229415156,0.3
76.2,-3.2584625272392578,-5.688462527239258,0.3
76.4,-3.2088836281663022,-5.638883628166303,0.3
76.6,-3.1999999999999993,-5.572448195959366,0.3
76.8,-3.1999999999999993,-5.502333044482863,0.3
77.0,-3.1999999999999993,-5.432217893006364,0.3
77.2,-3.1999999999999993,-5.362102741529864,0.3
77.4,-3.1999999999999993,-5.2919875900533615,0.3
77.6,-3.1999999999999993,-5.221872438576859,0.3
