"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.086507,0.091205,-0.0071674,0.54505,0.44186,0.33665
-0.096228,0.074963,-0.0048864,0.54506,0.33666,0.44182
-0.1035,0.054269,-0.0017599,0.54613,0.23278,0.54618
-0.10646,0.031034,0.00079616,0.54767,0.13056,0.64881
-0.10557,0.0087558,0.0018795,0.54892,0.03991,0.74981
-0.062566,0.14723,-0.0016063,0.44748,0.84992,0.039883
-0.061418,0.13486,-0.0056437,0.44567,0.74942,0.1306
-0.063496,0.12213,-0.0081248,0.44351,0.64793,0.233
-0.068021,0.10791,-0.0091175,0.44175,0.54515,0.33666
-0.07361,0.091262,-0.0083417,0.44102,0.4411,0.44109
-0.078623,0.071633,-0.0064806,0.44176,0.33665,0.54513
-0.08171,0.049715,-0.0043606,0.44352,0.23299,0.64792
-0.082333,0.0274,-0.0028829,0.44568,0.1306,0.74941
-0.081192,0.0076151,-0.0024182,0.44749,0.039883,0.84992
-0.055999,0.1743,-0.0016013,0.34459,0.94996,0.039693
-0.052272,0.15793,-0.0057002,0.34219,0.84973,0.13054
-0.05118,0.14192,-0.0085632,0.33974,0.749,0.23368
-0.052361,0.12542,-0.010274,0.33774,0.64752,0.33783
-0.054839,0.10769,-0.010487,0.3366,0.54515,0.44186
-0.057543,0.088281,-0.0095766,0.33661,0.44185,0.54515
-0.059645,0.067358,-0.0080397,0.33775,0.33782,0.64752
-0.06069,0.045738,-0.006512,0.33975,0.23367,0.74901
-0.060608,0.024746,-0.0055165,0.3422,0.13054,0.84974
-0.059933,0.0068079,-0.0052297,0.3446,0.039693,0.94997
-0.045986,0.20344,-0.0015856,0.24018,1.05,0.038996
-0.041134,0.18286,-0.0057618,0.23664,0.9499,0.13009
